,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,orientation_cat
0,47,Female,3,1800,East,9,3,No,1,Left
1,52,Male,3,2000,East,8,3,No,5,Center-Right
2,61,Male,2,2500,West,9,4,No,6,Center-Right
3,54,Female,2,860,West,3,2,Yes,1,Left
4,49,Male,3,2500,West,7,5,No,6,Center-Right
5,75,Female,3,750,West,9,4,No,6,Center-Right
6,59,Male,5,4500,East,8,4,No,6,Center-Right
7,65,Male,3,880,East,5,3,No,9,Right
8,61,Female,2,3000,West,10,4,Yes,3,Center-Left
9,76,Male,2,950,East,10,3,No,6,Center-Right
10,23,Male,2,1200,West,10,3,No,3,Center-Left
11,65,Male,2,3300,West,9,3,No,6,Center-Right
12,54,Male,3,1500,East,6,3,Yes,2,Left
13,76,Male,5,1600,East,10,5,No,3,Center-Left
14,23,Male,3,1800,West,8,4,No,3,Center-Left
15,36,Male,3,2125,West,9,5,No,2,Left
16,34,Female,3,350,West,9,5,Yes,3,Center-Left
17,52,Female,4,2400,West,9,5,Yes,6,Center-Right
18,63,Male,3,1050,East,8,2,No,3,Center-Left
19,61,Male,2,2375,West,8,5,No,1,Left
20,19,Male,3,875,West,9,5,No,9,Right
21,27,Male,5,1500,East,9,5,No,3,Center-Left
22,53,Male,3,1000,East,6,4,No,9,Right
23,25,Male,3,1300,West,8,3,No,6,Center-Right
24,40,Female,5,1390,West,9,5,Yes,5,Center-Right
25,71,Male,4,460,West,6,3,Yes,6,Center-Right
26,31,Male,4,2375,East,9,5,No,5,Center-Right
27,48,Male,5,3500,West,8,4,Yes,6,Center-Right
28,66,Female,2,850,West,9,3,No,3,Center-Left
29,43,Male,3,1800,West,4,4,No,9,Right
30,24,Male,5,700,West,9,5,Yes,6,Center-Right
31,55,Female,3,813,West,8,3,No,6,Center-Right
32,61,Female,4,1500,West,8,4,No,2,Left
33,48,Male,5,6250,West,5,2,No,5,Center-Right
34,27,Male,3,1579,West,8,5,No,6,Center-Right
35,41,Female,3,1100,West,10,5,No,6,Center-Right
36,39,Male,3,1500,East,3,4,No,9,Right
37,78,Male,2,4500,West,10,5,No,3,Center-Left
38,66,Female,5,2000,West,8,3,No,3,Center-Left
39,40,Female,4,1625,East,8,5,No,6,Center-Right
40,29,Male,5,2400,West,9,5,No,3,Center-Left
41,48,Male,5,4000,West,7,1,Yes,5,Center-Right
42,40,Male,3,1400,East,4,3,No,9,Right
43,53,Male,4,1875,West,9,3,No,3,Center-Left
44,42,Male,3,1100,West,9,3,No,5,Center-Right
45,47,Male,2,2700,West,8,3,No,6,Center-Right
46,72,Male,2,1140,East,5,1,No,1,Left
47,31,Male,5,2200,West,7,3,Yes,3,Center-Left
48,88,Male,5,3000,West,3,4,No,5,Center-Right
49,31,Male,3,2500,East,10,5,Yes,6,Center-Right
50,35,Male,3,1650,East,8,4,No,1,Left
