,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement
0,auto,few,small,1985,17.0,17.0,2.296
1,auto,few,small,1985,17.0,17.0,2.296
2,lock-up,medium,small,1985,21.0,27.0,2.4436
3,lock-up,medium,small,1985,18.0,24.0,2.6896
4,manual,medium,small,1985,18.0,23.0,2.6896
5,lock-up,medium,small,1985,15.0,20.0,3.4276
6,manual,medium,small,1985,15.0,20.0,3.4276
7,lock-up,medium,small,1985,15.0,20.0,3.4276
8,manual,medium,small,1985,14.0,19.0,3.4276
9,lock-up,medium,small,1985,21.0,27.0,2.4436
10,lock-up,medium,small,1985,18.0,24.0,2.6896
11,manual,medium,small,1985,18.0,23.0,2.6896
12,lock-up,medium,small,1985,15.0,20.0,3.4276
13,manual,medium,small,1985,15.0,20.0,3.4276
14,lock-up,medium,small,1985,15.0,20.0,3.4276
15,manual,medium,small,1985,14.0,19.0,3.4276
16,lock-up,medium,small,1985,17.0,24.0,2.9684
17,lock-up,medium,small,1985,15.0,21.0,5.0348
18,lock-up,few,small,1985,17.0,23.0,1.804
19,lock-up,few,small,1985,21.0,29.0,1.804
20,manual,few,small,1985,19.0,27.0,1.804
21,manual,few,small,1985,23.0,32.0,1.804
22,lock-up,few,small,1985,19.0,26.0,1.9844
23,manual,few,small,1985,22.0,29.0,1.9844
24,lock-up,few,small,1985,21.0,29.0,2.4764
25,manual,few,small,1985,21.0,31.0,2.4764
26,lock-up,medium,small,1985,17.0,24.0,2.8372
27,manual,medium,small,1985,15.0,21.0,2.8372
28,lock-up,few,small,1985,21.0,29.0,2.4764
29,manual,few,small,1985,21.0,31.0,2.4764
30,manual,few,small,1985,23.0,32.0,1.804
31,lock-up,few,small,1985,22.0,27.0,1.9844
32,manual,few,small,1985,23.0,32.0,1.9844
33,lock-up,few,small,1985,21.0,29.0,2.4764
34,manual,few,small,1985,21.0,31.0,2.4764
35,lock-up,medium,small,1985,18.0,25.0,2.8372
36,manual,medium,small,1985,17.0,24.0,2.8372
37,lock-up,medium,small,1985,18.0,24.0,2.8372
38,lock-up,medium,small,1985,15.0,20.0,5.0348
39,lock-up,few,small,1985,21.0,29.0,1.804
40,lock-up,few,small,1985,18.0,23.0,1.804
41,manual,few,small,1985,19.0,24.0,1.804
42,manual,medium,small,1985,16.0,21.0,2.8372
43,lock-up,few,small,1985,21.0,29.0,2.4764
44,manual,few,small,1985,21.0,31.0,2.4764
45,lock-up,medium,small,1985,18.0,24.0,2.9684
46,lock-up,medium,small,1985,15.0,22.0,3.7884
47,lock-up,few,small,1985,19.0,26.0,1.9844
48,manual,few,small,1985,21.0,29.0,1.9844
49,lock-up,medium,small,1985,17.0,24.0,2.8372
50,manual,medium,small,1985,15.0,21.0,2.8372
51,lock-up,few,small,1985,22.0,27.0,1.9844
52,lock-up,medium,small,1985,18.0,24.0,2.8372
53,manual,medium,small,1985,16.0,21.0,2.8372
54,lock-up,medium,small,1985,15.0,20.0,4.0836
55,manual,few,small,1985,21.0,30.0,1.9844
56,manual,few,small,1985,22.0,29.0,1.9844
57,manual,few,small,1985,21.0,29.0,1.9844
58,lock-up,medium,small,1985,16.0,21.0,2.8372
59,manual,medium,small,1985,15.0,21.0,2.8372
60,lock-up,few,small,1985,23.0,29.0,1.5908
61,manual,few,small,1985,26.0,33.0,1.5908
62,lock-up,few,small,1985,19.0,26.0,1.9844
63,lock-up,few,small,1985,22.0,27.0,1.9844
64,manual,few,small,1985,23.0,32.0,1.9844
65,manual,few,small,1985,21.0,30.0,1.9844
66,lock-up,medium,small,1985,17.0,22.0,2.8372
67,manual,medium,small,1985,16.0,21.0,2.8372
68,lock-up,few,small,1985,23.0,29.0,1.5908
69,manual,few,small,1985,26.0,33.0,1.5908
70,auto,few,small,1985,21.0,26.0,2.214
71,manual,few,small,1985,22.0,33.0,2.214
72,manual,few,small,1985,23.0,33.0,2.214
73,manual,few,small,1985,18.0,27.0,2.214
74,manual,few,small,1985,17.0,26.0,2.214
75,manual,few,small,1985,26.0,36.0,1.5908
76,auto,few,small,1985,19.0,24.0,2.214
77,manual,few,small,1985,22.0,31.0,2.214
78,manual,few,small,1985,18.0,26.0,2.214
79,manual,few,small,1985,17.0,26.0,2.214
