,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
0,57,Female,3,3000,West,10,5,No,2,-9.095686153163003,-484.70223285324965
1,49,Male,5,5000,West,9,3,No,5,1626.8369242357232,-7.329884634257289
2,38,Male,3,2250,West,8,3,Yes,5,-7.829558866675148,15.348234113045935
3,80,Female,2,265,West,8,1,No,6,-7.598446853945611,14.76921119429116
4,47,Male,3,2500,West,8,3,No,5,-7.862581818087998,15.432008627967857
5,80,Female,5,2000,West,10,2,Yes,3,-7.836385339200884,15.36553531109288
6,23,Male,5,250,West,9,5,No,6,-7.484014589900151,14.481100603703872
7,48,Male,2,3000,West,9,4,No,6,-9.104264883224236,-476.97580152994567
8,81,Male,2,1500,West,6,4,No,3,-7.7499174730864135,15.14669913146849
9,33,Female,5,3000,East,8,4,Yes,6,-9.129990327498469,-492.37244528149034
10,28,Female,4,1800,West,9,5,No,3,-7.823732934157492,15.33361322849732
11,62,Female,2,600,West,8,3,No,3,-7.574602621539712,14.70930505088776
12,38,Male,4,2875,West,9,4,Yes,2,-9.207440968283592,-596.4324266283188
13,70,Male,2,1800,West,10,5,No,6,-7.826101530005045,15.339605535231565
14,46,Male,2,1800,West,5,3,No,6,-7.831345870871432,15.352900408128402
15,56,Male,5,2125,East,8,3,No,1,-7.8094222841874466,15.297132398676208
16,56,Male,2,5000,West,10,4,No,6,1631.0920247306842,-7.4090027050928375
17,58,Female,2,1900,West,9,2,No,3,-7.862773622704264,15.432496094669183
18,29,Female,5,700,West,10,5,No,3,-7.707607458448476,15.044407320876449
19,24,Male,5,2100,East,8,4,No,6,-7.80973498146156,15.297788946521633
20,53,Female,5,3000,East,8,4,No,2,-9.09994792892205,-481.69475779092824
21,65,Female,3,1300,East,8,3,No,5,-7.810025538118872,15.298730094166297
22,50,Female,3,650,West,8,3,No,6,-7.677430380205069,14.968207677386916
23,32,Female,5,2000,East,9,5,No,1,-7.846055827724247,15.390074985310324
24,47,Female,3,1000,East,7,3,No,6,-7.862870447902158,15.432742192661218
25,57,Female,3,550,West,10,4,No,6,-7.433056995016375,14.353191746968903
26,38,Male,3,3500,West,8,3,Yes,6,-6.4439287251321655,24.246276468577836
27,35,Female,5,1,East,10,4,No,6,-6.801082511961605,12.762399002084404
28,72,Female,5,2500,West,6,2,No,2,-7.861919629411329,15.430325594356303
29,28,Male,3,1500,East,10,5,No,1,-7.802271052439514,15.279304310387646
30,44,Male,5,3300,West,8,3,No,6,-7.988866203521029,-199.06404751396073
31,30,Male,4,650,West,8,4,No,9,-7.684204271673755,14.985274855430715
32,79,Female,2,420,West,9,2,No,6,-7.643389499358324,14.887069100904277
33,46,Female,5,1500,West,9,4,No,5,-7.793983284318104,15.2583146124808
34,55,Female,3,1500,East,9,5,No,1,-7.78514110078724,15.23591912624748
35,56,Female,2,1400,West,5,4,No,3,-7.824494547879824,15.335424791742673
36,43,Male,4,3500,West,8,3,Yes,3,-6.475861332727688,21.588777622163118
37,44,Female,3,2900,West,8,2,No,6,-9.20468557010647,-583.8329342656449
38,50,Male,2,1700,West,7,4,No,3,-7.776335303184466,15.213406379235154
39,38,Male,5,1400,East,9,4,No,3,-7.833425102785947,15.358071889577262
40,61,Female,2,900,West,8,2,Yes,3,-7.86092869879405,15.427808072677813
41,47,Female,4,1200,West,8,1,No,2,-7.857210179065974,15.418364880576226
42,74,Female,3,813,West,10,5,No,6,-7.448185537234037,14.392621357683275
43,55,Female,5,3500,East,8,3,No,1,-6.474116850520529,20.459354765196966
44,24,Male,3,1313,West,7,4,No,4,-7.78676442792017,15.239723508871805
45,55,Female,3,1800,West,9,4,No,2,-7.829628008566181,15.348546277946111
46,26,Female,3,1100,East,8,5,No,6,-7.859548902166407,15.42430084266649
47,63,Female,5,1875,East,7,2,Yes,1,-7.7643519068888915,15.18303933604807
48,59,Male,3,1100,East,7,3,No,1,-7.861722743879063,15.4298255373071
49,31,Male,4,1600,West,9,5,No,1,-7.803244045031088,15.281694361922675
50,20,Female,5,400,West,9,5,No,5,-7.687485603942263,14.996429329972939
51,32,Female,5,2700,West,8,4,No,6,-8.939258070053949,-756.0616774153086
52,45,Female,5,2000,East,10,5,No,6,-7.8486460728060665,15.396652124212254
53,55,Male,3,2400,West,6,4,Yes,1,-7.8618005177817105,15.430023229095413
54,63,Male,3,800,East,7,3,Yes,5,-7.5121451848296505,14.553350354216425
55,71,Female,5,1050,East,8,3,No,3,-7.862488010796963,15.431770177773988
56,55,Male,3,1875,West,7,4,No,6,-7.755263906247833,15.159996433307851
57,22,Male,2,2000,West,8,5,No,6,-7.844928134776662,15.387208560239674
58,24,Female,5,476,East,5,4,No,2,-7.497635527396394,14.523128606460158
59,48,Female,5,3500,West,7,4,Yes,6,-6.51977632165625,17.05292494993764
60,53,Male,4,3500,West,9,4,No,6,-6.498336170181511,19.9906881824787
61,82,Female,5,1600,East,8,3,No,1,-7.745773419456525,15.136055588899431
62,32,Female,5,3400,West,10,4,Yes,6,-7.38485200801066,-98.04962929797584
63,37,Male,4,1200,East,9,4,Yes,6,-7.857343703726338,15.4187032883145
64,78,Male,2,1600,West,10,4,No,5,-7.752755757351253,15.15374695448648
65,64,Male,5,2500,West,5,2,No,3,-7.862357393196351,15.43143822176117
66,20,Female,3,380,West,8,4,No,6,-7.694566318008415,15.013786520425374
67,48,Male,5,3500,East,8,4,No,3,-6.5013423783317075,18.218802047326992
68,42,Female,5,1900,West,7,4,No,3,-7.862881084305069,15.432769225246503
69,76,Female,2,1500,East,9,3,No,1,-7.757400586681904,15.165654090509749
70,38,Male,4,2500,West,10,3,No,5,-7.862182903366125,15.43099474332166
71,80,Female,2,200,West,8,3,No,3,-7.477542507848955,14.464435634609648
72,42,Female,3,404,East,5,2,No,11,-7.680355218944684,14.97893585920814
73,18,Male,5,800,West,8,4,Yes,6,-7.612519616678241,14.805562583992234
74,62,Female,3,1300,East,8,5,No,6,-7.809885039311327,15.298373453019552
75,62,Female,3,688,West,8,4,No,3,-7.708532206128615,15.046433664686411
76,81,Male,2,1313,East,6,2,No,9,-7.808675909958974,15.29530859649204
77,42,Female,5,2400,West,8,2,No,3,-7.8619780599719205,15.4304744009954
78,57,Male,5,950,West,5,2,No,1,-7.858883828272878,15.422610770497936
79,76,Male,2,900,East,8,2,No,9,-7.860090562602619,15.42567822367944
80,48,Female,5,2000,West,8,4,Yes,2,-7.8487916248703025,15.397021843845586
81,53,Male,2,680,East,5,2,No,9,-7.699345580788737,15.023327371093776
82,77,Male,4,3300,West,8,3,No,6,-7.895828515398466,-206.14684812847037
83,67,Female,3,500,West,10,4,Yes,5,-7.2492669720877405,13.890906635079785
84,37,Female,5,1200,East,7,5,Yes,6,-7.857219215478846,15.418387016209113
85,33,Male,3,1220,East,6,3,No,4,-7.852628070680583,15.406721156855829
86,64,Male,5,3500,East,9,4,No,3,-6.435846457109413,22.77973564314225
87,64,Male,4,688,East,8,5,No,6,-7.704299824875065,15.035814901093516
88,57,Male,5,3000,West,6,3,No,2,-9.096413034288318,-484.2675043259766
89,51,Male,3,1500,East,5,3,No,3,-7.786638568228453,15.239712254872122
90,40,Female,4,2050,West,9,4,No,6,-7.844699216531071,15.386602671258547
91,67,Male,5,1800,West,6,4,No,6,-7.826470699951266,15.340542155045924
92,30,Female,5,875,West,8,5,Yes,2,-7.854587129443252,15.411692539276057
93,57,Male,3,1300,East,9,4,No,1,-7.814596014176659,15.31032187864575
94,59,Male,5,3750,West,9,4,No,6,-4.114043207541954,277.4025007085015
95,47,Female,3,1188,East,5,3,No,3,-7.8484917144201845,15.39621439592273
96,33,Male,5,2400,West,8,5,Yes,2,-7.861529653713617,15.429334758818674
97,90,Male,2,2125,West,9,3,Yes,5,-7.786345306501456,15.23857189756472
98,24,Male,5,700,West,9,5,Yes,6,-7.70497755263203,15.037839233316976
99,22,Female,5,280,West,9,4,No,1,-7.432204317528249,14.35105589482066
100,64,Female,5,564,West,9,5,No,5,-7.480119876212201,14.471588412351348
101,34,Female,3,280,East,9,5,No,11,-7.435822368629844,14.36014483052464
102,53,Male,5,1500,East,8,3,No,3,-7.785631607649727,15.237161695616694
