,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
0,57,Female,3,3000,West,10,5,No,2,6.775909052596925e-05,3.112878963187212e-05
1,49,Male,5,5000,West,9,3,No,5,5.598582090108814e-05,-5.429614663841898e-06
2,38,Male,3,2250,West,8,3,Yes,5,3.744345912581839e-05,1.1682159766809899e-05
3,80,Female,2,265,West,8,1,No,6,-5.654408662663593e-05,1.841901549989878e-06
4,47,Male,3,2500,West,8,3,No,5,-4.70901131870314e-05,-1.8461123662147266e-05
5,80,Female,5,2000,West,10,2,Yes,3,-0.14297457274129444,-0.001309628628082326
6,23,Male,5,250,West,9,5,No,6,5.2549067738994794e-05,-3.928538899466972e-06
7,48,Male,2,3000,West,9,4,No,6,4.7227821424411516e-05,3.221478321531124e-05
8,81,Male,2,1500,West,6,4,No,3,8.955953477528434e-06,-1.3391531121214449e-05
9,33,Female,5,3000,East,8,4,Yes,6,-1.0416104594381504e-05,3.5263836511290606e-05
10,28,Female,4,1800,West,9,5,No,3,6.022194852413343e-05,-1.0110906227794874e-05
11,62,Female,2,600,West,8,3,No,3,-1.0252060654528802e-06,-5.6063540868799694e-05
12,38,Male,4,2875,West,9,4,Yes,2,3.7368366775598444e-05,7.660017182043499e-06
13,70,Male,2,1800,West,10,5,No,6,-8.62213963643611e-06,-6.469424676280523e-06
14,46,Male,2,1800,West,5,3,No,6,-6.0452670544651824e-05,-3.72786866182501e-06
15,56,Male,5,2125,East,8,3,No,1,2.061693075939034e-05,6.266676011466845e-06
16,56,Male,2,5000,West,10,4,No,6,3.753772585320895e-05,-4.453809770561119e-06
17,58,Female,2,1900,West,9,2,No,3,-4.7618913092881826e-05,-4.7451001441118495e-05
18,29,Female,5,700,West,10,5,No,3,-4.2099575878384345e-05,-5.389093246807586e-05
19,24,Male,5,2100,East,8,4,No,6,-0.002469768823465137,-3.6426167463599203e-07
20,53,Female,5,3000,East,8,4,No,2,-3.781570264516607e-05,3.671312771866972e-05
21,65,Female,3,1300,East,8,3,No,5,0.0008214646581237006,1.927514360387793e-05
22,50,Female,3,650,West,8,3,No,6,-6.150929085064517e-05,-5.286426134967076e-05
23,32,Female,5,2000,East,9,5,No,1,-0.14306901743007422,-0.001304632993036882
24,47,Female,3,1000,East,7,3,No,6,-0.0024807009284165404,0.2672508305987947
25,57,Female,3,550,West,10,4,No,6,-5.221809332638365e-05,-4.302053267978e-05
26,38,Male,3,3500,West,8,3,Yes,6,-5.5785823302841316e-05,-2.826255711827666e-06
27,35,Female,5,1,East,10,4,No,6,1.5059174826903167e-05,-1.9455254250781596e-06
28,72,Female,5,2500,West,6,2,No,2,4.7417114820025595e-05,-2.34600469672142e-05
29,28,Male,3,1500,East,10,5,No,1,1.5057977443331535e-05,-1.371429533492811e-05
30,44,Male,5,3300,West,8,3,No,6,9.862859123347353e-05,-0.0002872406130248195
31,30,Male,4,650,West,8,4,No,9,-1.9774632413643335e-05,-5.507180225056835e-05
32,79,Female,2,420,West,9,2,No,6,-3.007289705347785e-05,6.20686979175418e-06
33,46,Female,5,1500,West,9,4,No,5,-2.7855054167587264e-06,-1.2770471169395854e-05
34,55,Female,3,1500,East,9,5,No,1,-3.227182521135145e-05,-1.1210803622138647e-05
35,56,Female,2,1400,West,5,4,No,3,-8.169624496444329e-05,-5.534822137314051e-05
36,43,Male,4,3500,West,8,3,Yes,3,-4.1452840441294245e-05,-3.584393328794108e-06
37,44,Female,3,2900,West,8,2,No,6,1.3019955473381121e-05,8.947917035446217e-06
38,50,Male,2,1700,West,7,4,No,3,1.752033329923634e-05,8.903157714456289e-05
39,38,Male,5,1400,East,9,4,No,3,-8.371188684769184e-05,-5.5241604775593464e-05
40,61,Female,2,900,West,8,2,Yes,3,0.00017012909270855067,0.0003485157370990491
41,47,Female,4,1200,West,8,1,No,2,1.7796403153923487e-05,-3.969350466240586e-06
42,74,Female,3,813,West,10,5,No,6,-0.00012900040613628844,-0.0003086044210327474
43,55,Female,5,3500,East,8,3,No,1,-3.37789621961981e-05,-3.990300167336064e-06
44,24,Male,3,1313,West,7,4,No,4,0.0007604690335253962,2.2501481192925627e-05
45,55,Female,3,1800,West,9,4,No,2,-2.9634233539730056e-06,-6.768740287559868e-06
46,26,Female,3,1100,East,8,5,No,6,-6.0774505411283555e-05,-8.542037317970512e-05
47,63,Female,5,1875,East,7,2,Yes,1,4.026157551411221e-06,1.6468230360738532e-06
48,59,Male,3,1100,East,7,3,No,1,-8.80904325922232e-05,-8.397550771920696e-05
49,31,Male,4,1600,West,9,5,No,1,-1.805455464039785e-05,9.523423480090345e-06
50,20,Female,5,400,West,9,5,No,5,-4.539904681664498e-05,-1.2479739557626263e-05
51,32,Female,5,2700,West,8,4,No,6,3.399869497894365e-05,7.838254689883267e-06
52,45,Female,5,2000,East,10,5,No,6,-0.14296975966109282,-0.0013098831946150857
53,55,Male,3,2400,West,6,4,Yes,1,9.703866555746399e-05,8.457362873214025e-05
54,63,Male,3,800,East,7,3,Yes,5,-0.00010291617217484186,-0.000309984136556099
55,71,Female,5,1050,East,8,3,No,3,3.797396557212068e-05,3.7694736207890765e-06
56,55,Male,3,1875,West,7,4,No,6,-6.108641899815487e-05,5.090927733195069e-06
57,22,Male,2,2000,West,8,5,No,6,-0.14301931723634886,-0.0013072618656455764
58,24,Female,5,476,East,5,4,No,2,-3.0404893352094478e-05,1.4621376940138251e-05
59,48,Female,5,3500,West,7,4,Yes,6,4.8917258830309486e-05,-8.364484978234985e-06
60,53,Male,4,3500,West,9,4,No,6,-2.4173026805435652e-05,-4.498402425430176e-06
61,82,Female,5,1600,East,8,3,No,1,-4.420258745072609e-06,-9.358893780912171e-07
62,32,Female,5,3400,West,10,4,Yes,6,8.267174700825069e-05,-0.00012554615663730453
63,37,Male,4,1200,East,9,4,Yes,6,1.8700472326553924e-05,-4.0171708576650665e-06
64,78,Male,2,1600,West,10,4,No,5,5.0276828338696945e-06,-1.4356346147948871e-06
65,64,Male,5,2500,West,5,2,No,3,3.313514654916205e-05,-2.270460776104812e-05
66,20,Female,3,380,West,8,4,No,6,-6.845973544674853e-05,-1.1259953300354946e-05
67,48,Male,5,3500,East,8,4,No,3,-4.450068257164284e-06,-5.541640734174493e-06
68,42,Female,5,1900,West,7,4,No,3,3.7347310995872196e-05,-5.1945257192740485e-05
69,76,Female,2,1500,East,9,3,No,1,1.546047031261635e-05,-1.3735585038110782e-05
70,38,Male,4,2500,West,10,3,No,5,2.2935291423772158e-05,-2.2165090520449757e-05
71,80,Female,2,200,West,8,3,No,3,-5.067813857112109e-06,-8.809161021055999e-07
72,42,Female,3,404,East,5,2,No,11,-7.8566969842662e-06,-1.0981587596018073e-05
73,18,Male,5,800,West,8,4,Yes,6,-0.00012060758367285138,-0.00031586347800354603
74,62,Female,3,1300,East,8,5,No,6,0.0007501885533311625,2.3045265747577763e-05
75,62,Female,3,688,West,8,4,No,3,1.4967931625786777e-05,-5.69094899928891e-05
76,81,Male,2,1313,East,6,2,No,9,0.0007468243897183698,2.3223212930583912e-05
77,42,Female,5,2400,West,8,2,No,3,0.00011115839813923348,8.382677089578683e-05
78,57,Male,5,950,West,5,2,No,1,-1.0617839229242207e-05,2.4341786415157596e-05
79,76,Male,2,900,East,8,2,No,9,0.0001536908512480492,0.00034938523156173573
80,48,Female,5,2000,West,8,4,Yes,2,-0.1430083093937924,-0.0013078441214118943
81,53,Male,2,680,East,5,2,No,9,1.7805749481039808e-05,-5.70595954155189e-05
82,77,Male,4,3300,West,8,3,No,6,2.4428650887789356e-05,-0.0002833158357121498
83,67,Female,3,500,West,10,4,Yes,5,-2.9134749353524642e-05,-3.222744205556846e-05
84,37,Female,5,1200,East,7,5,Yes,6,5.334696820348366e-05,-5.8497839341003936e-06
85,33,Male,3,1220,East,6,3,No,4,-1.1338375635790127e-06,-2.9680426486162913e-06
86,64,Male,5,3500,East,9,4,No,3,2.4028680704949582e-05,-7.048013209921864e-06
87,64,Male,4,688,East,8,5,No,6,2.8756912647805643e-05,-5.763885290930963e-05
88,57,Male,5,3000,West,6,3,No,2,1.16466582978001e-05,3.4096835157077155e-05
89,51,Male,3,1500,East,5,3,No,3,7.551704783795535e-06,-1.3317253927634646e-05
90,40,Female,4,2050,West,9,4,No,6,-0.0734382841011421,-0.0006553567312471455
91,67,Male,5,1800,West,6,4,No,6,-4.205784179506667e-05,-4.700856066502255e-06
92,30,Female,5,875,West,8,5,Yes,2,9.455477991012276e-05,0.00035251321131222514
93,57,Male,3,1300,East,9,4,No,1,0.0007710770312699798,2.1940377098586525e-05
