,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
0,57,Female,3,3000,West,10,5,No,2,-1248.4145121096242,104.45134285053116
1,49,Male,5,5000,West,9,3,No,5,-3235.443334189692,339.3427882514438
2,38,Male,3,2250,West,8,3,Yes,5,-502.2846643382747,26.136777511307383
3,80,Female,2,265,West,8,1,No,6,1481.4582912179872,-60.87535060415224
4,47,Male,3,2500,West,8,3,No,5,-750.7757907589267,54.413290849257606
5,80,Female,5,2000,West,10,2,Yes,3,-255.17643106498122,-27.276521657367155
6,23,Male,5,250,West,9,5,No,6,1495.289287344024,-87.98399900197062
7,48,Male,2,3000,West,9,4,No,6,-1247.7260645495223,111.98840456247375
8,81,Male,2,1500,West,6,4,No,3,246.87862402959854,-12.519493112007904
9,33,Female,5,3000,East,8,4,Yes,6,-1246.49390938896,125.84487144484748
10,28,Female,4,1800,West,9,5,No,3,-52.45367885423182,8.221904356360094
11,62,Female,2,600,West,8,3,No,3,1145.853552549857,-55.66659052034429
12,38,Male,4,2875,West,9,4,Yes,2,-1123.650358144352,96.25094403884185
13,70,Male,2,1800,West,10,5,No,6,-54.826181492487336,-30.25306994271394
14,46,Male,2,1800,West,5,3,No,6,-53.38719193038654,-7.235711990413704
15,56,Male,5,2125,East,8,3,No,1,-377.75078874899094,14.256904639192273
16,56,Male,2,5000,West,10,4,No,6,-3234.2814531658137,350.37018426420326
17,58,Female,2,1900,West,9,2,No,3,-153.5637628218457,-6.742120344231236
18,29,Female,5,700,West,10,5,No,3,1044.9420382329376,-78.7037801137735
19,24,Male,5,2100,East,8,4,No,6,-354.51943293334637,-9.425041732857693
20,53,Female,5,3000,East,8,4,No,2,-1248.105996089732,107.8253719307971
21,65,Female,3,1300,East,8,3,No,5,446.1793362131055,-30.22078392550123
22,50,Female,3,650,West,8,3,No,6,1095.5803422362076,-61.09940743770524
23,32,Female,5,2000,East,9,5,No,1,-252.15077493968357,18.722486990597492
24,47,Female,3,1000,East,7,3,No,6,745.6171822565984,-50.49267917438756
25,57,Female,3,550,West,10,4,No,6,1195.172492208556,-70.92857762481307
26,38,Male,3,3500,West,8,3,Yes,6,-1745.6515758787457,159.01346376807007
27,35,Female,5,1,East,10,4,No,6,1744.1228762844985,-89.83844853173397
