,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
0,57,Female,3,3000,West,10,5,No,2,0.46013263284593653,-0.37595851279527637
1,49,Male,5,5000,West,9,3,No,5,0.3447281834961145,-0.31209262487594575
2,38,Male,3,2250,West,8,3,Yes,5,0.3544522811433874,-0.08985097234029292
3,80,Female,2,265,West,8,1,No,6,-0.33749410426777515,-0.33612355851516146
4,47,Male,3,2500,West,8,3,No,5,0.387050982219424,-0.20448676316708586
5,80,Female,5,2000,West,10,2,Yes,3,0.29312764747663894,0.09032119435963723
6,23,Male,5,250,West,9,5,No,6,-0.3374941042677752,-0.336123558515162
7,48,Male,2,3000,West,9,4,No,6,0.45185740365296634,-0.36954529188322477
8,81,Male,2,1500,West,6,4,No,3,0.036138215609862204,0.44280468632144154
9,33,Female,5,3000,East,8,4,Yes,6,0.42300210682542694,-0.3416378572942399
10,28,Female,4,1800,West,9,5,No,3,0.16460738014216103,0.2475702432643942
11,62,Female,2,600,West,8,3,No,3,-0.4578411331097482,-0.3767651642169496
12,38,Male,4,2875,West,9,4,Yes,2,0.42714357865089725,-0.3273807719409982
13,70,Male,2,1800,West,10,5,No,6,0.16823489049723828,0.2501226984021798
14,46,Male,2,1800,West,5,3,No,6,0.16746651051564032,0.24241671511004254
15,56,Male,5,2125,East,8,3,No,1,0.364349517040171,0.0015290970405608983
16,56,Male,2,5000,West,10,4,No,6,0.34696589145826695,-0.3143146411401639
17,58,Female,2,1900,West,9,2,No,3,0.26020963456491475,0.16949485430160452
18,29,Female,5,700,West,10,5,No,3,-0.42465559467618824,-0.27481188610932633
19,24,Male,5,2100,East,8,4,No,6,0.30421790079610656,0.030226339530033987
20,53,Female,5,3000,East,8,4,No,2,0.47344388266639664,-0.3888244533898397
21,65,Female,3,1300,East,8,3,No,5,-0.10091354534059668,0.39305842908933863
22,50,Female,3,650,West,8,3,No,6,-0.4025263424949046,-0.2965282439708577
23,32,Female,5,2000,East,9,5,No,1,0.29168314833244324,0.08273301150681257
24,47,Female,3,1000,East,7,3,No,6,-0.2704418498158538,0.16052803683920297
25,57,Female,3,550,West,10,4,No,6,-0.5148445341444118,-0.47116815287314734
26,38,Male,3,3500,West,8,3,Yes,6,0.459701682698915,-0.40415205720492586
27,35,Female,5,1,East,10,4,No,6,-0.2574031598179125,-0.255865004571962
28,72,Female,5,2500,West,6,2,No,2,0.3781240438728207,-0.1958971698917656
29,28,Male,3,1500,East,10,5,No,1,0.03912260586598584,0.44226755092370645
30,44,Male,5,3300,West,8,3,No,6,0.5312423970514633,-0.4568484533197087
31,30,Male,4,650,West,8,4,No,9,-0.38010313076730545,-0.2799789377703366
32,79,Female,2,420,West,9,2,No,6,-0.43778841034975147,-0.4302961679415821
33,46,Female,5,1500,West,9,4,No,5,0.046550493100249855,0.5206181263986221
34,55,Female,3,1500,East,9,5,No,1,0.04836033481167776,0.5373486493638981
35,56,Female,2,1400,West,5,4,No,3,-0.009888662093615707,0.49109207693938306
36,43,Male,4,3500,West,8,3,Yes,3,0.4681487714358901,-0.41116590783792895
37,44,Female,3,2900,West,8,2,No,6,0.4179142231069599,-0.32334472777975903
38,50,Male,2,1700,West,7,4,No,3,0.13109445839863285,0.36625552061901884
39,38,Male,5,1400,East,9,4,No,3,-0.01410857677763649,0.4464325092349076
40,61,Female,2,900,West,8,2,Yes,3,-0.3333407372171474,-0.008889099065898527
41,47,Female,4,1200,West,8,1,No,2,-0.17485062311988955,0.37615294760015094
42,74,Female,3,813,West,10,5,No,6,-0.3378546704796901,-0.12376056538234861
43,55,Female,5,3500,East,8,3,No,1,0.48504197613657496,-0.4251903238185117
44,24,Male,3,1313,West,7,4,No,4,-0.07173068518684816,0.3607706788961347
45,55,Female,3,1800,West,9,4,No,2,0.17187364884110487,0.24670549652840557
46,26,Female,3,1100,East,8,5,No,6,-0.20110964565116912,0.25577395565866123
47,63,Female,5,1875,East,7,2,Yes,1,0.2512823074699509,0.17461291772487403
48,59,Male,3,1100,East,7,3,No,1,-0.25892679671044266,0.3288236066825756
49,31,Male,4,1600,West,9,5,No,1,0.08043970155740257,0.4068521814224287
50,20,Female,5,400,West,9,5,No,5,-0.42922919974414875,-0.4227693851546887
51,32,Female,5,2700,West,8,4,No,6,0.40402086562106637,-0.27967787381798453
52,45,Female,5,2000,East,10,5,No,6,0.3047661609603012,0.08507793531959834
53,55,Male,3,2400,West,6,4,Yes,1,0.34786048487942495,-0.14820482723389997
54,63,Male,3,800,East,7,3,Yes,5,-0.39892761111782954,-0.16745229280691365
55,71,Female,5,1050,East,8,3,No,3,-0.2484249628465121,0.20540402760122883
56,55,Male,3,1875,West,7,4,No,6,0.2512922498913636,0.17459150058923478
57,22,Male,2,2000,West,8,5,No,6,0.27572738984677264,0.07547196617834057
58,24,Female,5,476,East,5,4,No,2,-0.47174603555182376,-0.45247540746178294
59,48,Female,5,3500,West,7,4,Yes,6,0.4766039425263931,-0.4182097322728207
60,53,Male,4,3500,West,9,4,No,6,0.48927639461955996,-0.42873735269518576
61,82,Female,5,1600,East,8,3,No,1,0.07909554729845943,0.3998898194397005
62,32,Female,5,3400,West,10,4,Yes,6,0.5056797211155225,-0.44096260292014594
63,37,Male,4,1200,East,9,4,Yes,6,-0.16495733550564723,0.3587837291590544
64,78,Male,2,1600,West,10,4,No,5,0.07802472141027901,0.4063697859314352
65,64,Male,5,2500,West,5,2,No,3,0.3870373557511061,-0.204439261729478
66,20,Female,3,380,West,8,4,No,6,-0.42715723549936957,-0.4211643020310452
67,48,Male,5,3500,East,8,4,No,3,0.48293947629682354,-0.42347094356183346
68,42,Female,5,1900,West,7,4,No,3,0.2608757667270651,0.1714690485112862
69,76,Female,2,1500,East,9,3,No,1,0.038002091569958006,0.45580698368775363
70,38,Male,4,2500,West,10,3,No,5,0.3752685105261298,-0.19160493504333517
71,80,Female,2,200,West,8,3,No,3,-0.3041630687402576,-0.30284911643361456
72,42,Female,3,404,East,5,2,No,11,-0.4378030382831663,-0.43035558489858927
73,18,Male,5,800,West,8,4,Yes,6,-0.34878719417255694,-0.15533217496435048
74,62,Female,3,1300,East,8,5,No,6,-0.1026589232793436,0.4012808165607464
75,62,Female,3,688,West,8,4,No,3,-0.38709960104204405,-0.2689968420918706
76,81,Male,2,1313,East,6,2,No,9,-0.07061735683514182,0.3661529765682221
77,42,Female,5,2400,West,8,2,No,3,0.34109639970698025,-0.1468782834899515
78,57,Male,5,950,West,5,2,No,1,-0.27050293637217576,0.06952415089996584
79,76,Male,2,900,East,8,2,No,9,-0.30810278419556003,-0.014234062229295142
80,48,Female,5,2000,West,8,4,Yes,2,0.3066256073042206,0.08803613289806397
81,53,Male,2,680,East,5,2,No,9,-0.3880474315139816,-0.27255722676516825
82,77,Male,4,3300,West,8,3,No,6,0.5204804685830041,-0.4473184779068425
83,67,Female,3,500,West,10,4,Yes,5,-0.4900531107193676,-0.4655875582972009
84,37,Female,5,1200,East,7,5,Yes,6,-0.1649573355056478,0.3587837291590539
85,33,Male,3,1220,East,6,3,No,4,-0.14314664985988837,0.36565611327033387
86,64,Male,5,3500,East,9,4,No,3,0.4765899688243639,-0.4181582307062625
87,64,Male,4,688,East,8,5,No,6,-0.38709960104204333,-0.2689968420918702
88,57,Male,5,3000,West,6,3,No,2,0.46252390094310736,-0.3787312840191876
89,51,Male,3,1500,East,5,3,No,3,0.046968299020144676,0.5335444331642889
90,40,Female,4,2050,West,9,4,No,6,0.287438162958124,0.04579041701084297
91,67,Male,5,1800,West,6,4,No,6,0.16882358992791582,0.2520777902033053
92,30,Female,5,875,West,8,5,Yes,2,-0.31711780966526815,-0.05692715404985864
93,57,Male,3,1300,East,9,4,No,1,-0.11248019744691916,0.4204698718746594
94,59,Male,5,3750,West,9,4,No,6,0.4380349988207689,-0.3906496496027253
95,47,Female,3,1188,East,5,3,No,3,-0.18584499982749503,0.3354792173695795
96,33,Male,5,2400,West,8,5,Yes,2,0.32621386330382574,-0.13973174626749715
97,90,Male,2,2125,West,9,3,Yes,5,0.30724170110719184,-0.010253766399894181
98,24,Male,5,700,West,9,5,Yes,6,-0.4086331173887891,-0.26988525705190686
99,22,Female,5,280,West,9,4,No,1,-0.35966469787702926,-0.35809917925918344
100,64,Female,5,564,West,9,5,No,5,-0.45984890544789664,-0.4112465692807046
101,34,Female,3,280,East,9,5,No,11,-0.3441484370294579,-0.3427292681978225
102,53,Male,5,1500,East,8,3,No,3,0.04704656782872127,0.5356568014734715
103,23,Female,5,1200,West,9,5,Yes,2,-0.15296084501426646,0.3221774570955594
104,49,Female,5,1313,West,10,5,No,6,-0.0715586947994194,0.36551904745967234
105,73,Female,2,960,East,9,4,No,6,-0.28185674576081193,0.08739279639835111
106,51,Male,5,2875,West,4,4,Yes,2,0.4179142231069604,-0.32334472777975887
107,64,Female,3,1400,East,8,3,No,2,-0.012424183873496024,0.4538988348851102
108,25,Female,5,1082,West,8,2,No,2,-0.23170147552338655,0.21735403990628901
109,27,Male,3,1579,West,8,5,No,6,0.07519847857542492,0.48356875209516476
110,73,Female,3,813,East,8,4,Yes,2,-0.3378309865149732,-0.12367202280128171
111,23,Male,3,700,West,6,3,No,1,-0.3921159389720082,-0.26317405960047036
112,24,Female,4,300,East,9,4,No,2,-0.39719307556522765,-0.3947937580072255
113,84,Female,1,2000,West,10,3,No,3,0.275298605693436,0.0798821487951478
114,27,Male,5,1500,East,9,5,No,3,0.038729633776061215,0.4400595749511042
115,49,Female,4,2096,West,4,2,Yes,2,0.2924350279368994,0.03681824192784867
116,76,Male,2,1150,West,8,4,No,1,-0.2083114804897571,0.34795900235272165
117,46,Male,3,2000,East,9,4,No,4,0.30839091730786566,0.0874792279912602
118,53,Female,5,1000,West,9,2,No,6,-0.2690028648181659,0.15160918320678451
119,25,Male,3,1300,West,8,3,No,6,-0.08258358392019971,0.327767159475723
120,54,Female,3,1500,West,7,4,No,3,0.04792993082143291,0.541843149644513
121,76,Female,2,700,East,9,4,No,5,-0.42526290581337917,-0.2771271632112879
122,76,Male,2,1438,West,10,4,No,3,0.013755991641699956,0.4410427156057873
123,39,Female,5,1200,West,9,5,No,6,-0.16601934393313866,0.3601838179362671
124,28,Male,3,2000,West,3,4,No,9,0.28235549684351413,0.07881945739683506
125,48,Female,5,1600,West,5,3,Yes,1,0.0865874925258441,0.4791529971775413
126,45,Female,3,2200,East,9,4,No,3,0.3450888327356382,-0.06646181717742841
127,65,Female,5,1500,East,8,5,No,6,0.041950120457010555,0.4932481916117376
128,71,Male,2,1200,West,10,5,No,3,-0.16760199938872744,0.3735459206975404
129,67,Female,3,850,West,10,5,No,6,-0.3286702410941292,-0.078295618643166
130,52,Male,5,4500,West,7,3,No,6,0.35510083574083384,-0.32016202298673524
131,57,Male,2,350,East,5,1,No,9,-0.42761964869895464,-0.42304907197147457
132,20,Female,2,300,West,8,4,Yes,3,-0.3971930755652275,-0.3947937580072257
133,55,Male,3,2300,West,8,5,Yes,6,0.34904141390534993,-0.12159374056801711
134,67,Female,5,2400,West,10,4,No,3,0.3389366322594238,-0.1450451725539242
135,54,Male,4,3550,West,8,4,No,6,0.44737728556313167,-0.39490962569162474
136,74,Female,2,1200,East,8,4,No,3,-0.16675971538211648,0.36927827992502626
137,57,Male,5,6250,West,9,5,Yes,1,0.2821816738224684,-0.25640188884117965
138,71,Female,3,1188,West,8,4,No,5,-0.18591167669159378,0.3353155646952613
139,73,Male,5,2500,East,9,3,No,9,0.3613992955667106,-0.18804771833759323
140,54,Female,3,2000,East,8,4,No,6,0.31376513314259846,0.0894862787970534
141,20,Female,5,1400,East,8,5,Yes,9,-0.010405567962427984,0.37557003130248967
142,33,Male,5,3300,West,9,4,No,3,0.5291990074553472,-0.45534377939092446
143,39,Male,3,1438,East,9,4,No,9,0.013755991641700091,0.4410427156057869
144,81,Male,2,1438,West,8,4,No,9,0.013755991641699753,0.44104271560578745
145,79,Male,2,1500,East,8,3,No,3,0.0371230803632175,0.4469793151556082
146,57,Male,3,2300,West,9,4,Yes,3,0.3474509079596021,-0.12156077457038714
147,21,Female,5,800,West,8,5,No,6,-0.36620019877464166,-0.16540908346713296
148,47,Male,4,2500,West,7,4,No,9,0.3828274269244509,-0.20097922321302247
149,51,Male,2,1700,West,10,3,No,3,0.13109445839863348,0.36625552061901906
150,58,Male,4,150,West,10,5,No,6,-0.2974945446230839,-0.2961846234547845
151,79,Male,5,1600,West,10,3,Yes,6,0.07781074123103433,0.40406331247296196
152,55,Female,5,1800,East,7,3,No,6,0.17084328698823584,0.2484855975525539
153,45,Female,5,1500,West,10,4,No,5,0.047061998045919005,0.5204680159620956
154,51,Male,5,2100,West,7,2,Yes,2,0.32221836044969554,0.023550934816476757
155,48,Female,3,1500,East,4,3,No,9,0.04480242498158286,0.5232341413597702
156,26,Male,5,650,West,6,4,No,6,-0.3848171640147915,-0.2854386650197457
157,53,Male,2,2500,West,8,3,No,9,0.39130488160472465,-0.2081069479497134
158,72,Male,3,900,East,3,3,No,1,-0.32143008400036666,-0.016123775442184025
159,29,Male,5,2400,East,8,4,Yes,3,0.32404761153377104,-0.13787831437027884
160,31,Male,3,1800,East,8,4,No,5,0.1645916571215068,0.24758393877921292
161,65,Male,1,1050,East,5,3,No,1,-0.24894797384445141,0.20418044619152828
162,54,Female,4,1000,East,8,4,No,1,-0.26742376842039806,0.1473684683709341
163,47,Female,2,1500,West,9,4,No,3,0.046547822360789186,0.5206118793761102
164,49,Female,3,1600,West,10,5,No,3,0.08467072942701893,0.4763723054986979
165,28,Female,5,2100,West,9,5,No,2,0.320406104849546,0.02424820645737907
166,31,Male,5,2400,East,8,4,Yes,4,0.32452137931967107,-0.13939633666359408
167,51,Female,3,450,West,6,3,No,6,-0.44568245106115556,-0.43511336384446087
168,61,Male,2,830,West,7,1,No,3,-0.3338552401864187,-0.0950388512197281
169,19,Male,5,450,West,8,4,No,5,-0.44580803498567384,-0.4356249969504595
170,35,Female,3,1800,West,5,2,No,3,0.16454896152007592,0.24762297925370455
171,44,Male,5,6250,East,9,4,No,2,0.28218167382246834,-0.2564018888411793
172,39,Male,3,2100,West,9,5,Yes,3,0.3209097990207656,0.022912454607971144
173,31,Male,3,1250,East,8,3,No,4,-0.1374624759186855,0.3688139035922958
174,61,Female,2,3000,West,10,4,Yes,3,0.45815801284488356,-0.37469853711306805
175,76,Male,2,2300,West,9,3,No,6,0.33419683380953774,-0.11963593982143418
176,56,Male,4,600,West,5,3,No,1,-0.46033089395636634,-0.38003112409386797
177,21,Male,2,1200,West,4,4,No,2,-0.15147760259986,0.31864519321481616
178,52,Male,5,7500,West,8,4,No,6,0.262617482931808,-0.23854306113889645
179,60,Female,3,1500,East,9,4,No,3,0.04720910684763137,0.5376118864895809
180,32,Female,3,900,West,10,5,Yes,6,-0.31034856697930924,-0.021250104587956592
181,22,Female,5,750,West,9,4,No,1,-0.4177863177542768,-0.23797426610980457
182,76,Male,2,2800,West,6,1,No,2,0.3980634382907255,-0.2814485224624653
183,45,Male,5,1200,West,4,3,No,3,-0.17270264720955456,0.3734286203622441
184,64,Female,2,350,West,9,3,No,6,-0.42761964869895447,-0.42304907197147323
185,45,Male,5,8750,West,9,5,Yes,6,0.2560806551966621,-0.23253200119117196
186,54,Male,3,3500,West,8,4,No,6,0.4913779064106726,-0.43045302143284847
187,55,Female,3,1500,East,5,3,No,9,0.04592418194496167,0.5336857875418599
188,48,Female,5,2100,West,9,4,No,1,0.3204075028123978,0.024253467842265976
189,53,Male,5,3500,East,8,4,Yes,1,0.47665232181680117,-0.4183882360136281
190,71,Male,2,2125,West,8,3,No,5,0.3320064911526685,-0.009408368687069332
191,40,Male,2,4000,West,8,4,No,6,0.410719220200373,-0.36837910176845906
192,35,Male,2,650,East,8,4,No,9,-0.3838921975676894,-0.28188667051805005
193,56,Male,3,1600,East,7,3,No,6,0.08841355133046454,0.4819694073975143
194,80,Female,2,900,East,5,2,No,1,-0.30486338313101996,-0.01403740264154891
195,65,Female,3,850,East,9,4,No,3,-0.3330920854622767,-0.08225986744856759
196,49,Female,3,813,East,8,3,No,11,-0.34086872020163356,-0.1231455193917164
197,57,Female,2,1200,West,8,4,No,6,-0.16727319943359314,0.37137633545214765
198,64,Male,2,1600,West,7,3,No,6,0.08431919870043661,0.44758004595127043
199,31,Female,5,1300,West,8,5,Yes,3,-0.08839000549075131,0.344967176302854
200,37,Male,3,1600,East,7,4,No,9,0.08271093607134668,0.4324540950458889
201,34,Female,3,1063,West,5,3,No,3,-0.24790840937686962,0.20660703163300675
202,70,Female,4,813,West,9,2,No,6,-0.3398034739670342,-0.12490334706971813
203,81,Female,3,1833,West,8,2,No,3,0.16882803789632897,0.18466682183207964
204,34,Female,3,1900,West,8,4,No,2,0.26749908236512854,0.17099425685102287
205,41,Female,3,1188,East,6,4,No,2,-0.18584499982749475,0.3354792173695795
206,64,Female,3,1100,West,10,4,No,2,-0.2449875675381914,0.30494474042770026
207,29,Male,5,1500,West,5,4,Yes,3,0.039420618708200926,0.44911188409988567
208,84,Male,2,1800,East,10,4,No,3,0.1563260260553393,0.235009545438383
209,30,Male,3,1600,West,10,5,No,2,0.08209510099026854,0.4073730888143027
210,60,Male,3,320,East,6,3,No,3,-0.40153096956532197,-0.3987934903201409
211,75,Female,2,1063,East,8,3,No,3,-0.24486618230210674,0.20610179325043548
