,age,sex,education,income,east-west,happiness,health,lived_abroad,orientation,Emb_dim1,Emb_dim2
0,57,Female,3,3000,West,10,5,No,2,-23.6029052734375,4.831878185272217
1,49,Male,5,5000,West,9,3,No,5,-43.83584976196289,-2.478456497192383
2,38,Male,3,2250,West,8,3,Yes,5,21.258710861206055,31.728954315185547
3,80,Female,2,265,West,8,1,No,6,29.233840942382812,-18.752548217773438
4,47,Male,3,2500,West,8,3,No,5,22.431921005249023,21.21137237548828
5,80,Female,5,2000,West,10,2,Yes,3,-24.658143997192383,33.85252380371094
6,23,Male,5,250,West,9,5,No,6,29.91490936279297,-18.612985610961914
7,48,Male,2,3000,West,9,4,No,6,-23.53059196472168,5.189469337463379
8,81,Male,2,1500,West,6,4,No,3,48.466094970703125,4.416958808898926
9,33,Female,5,3000,East,8,4,Yes,6,-23.544893264770508,5.60699462890625
10,28,Female,4,1800,West,9,5,No,3,-2.1827738285064697,-21.85765838623047
11,62,Female,2,600,West,8,3,No,3,16.89278221130371,-4.783136367797852
12,38,Male,4,2875,West,9,4,Yes,2,-20.36862564086914,6.52249002456665
13,70,Male,2,1800,West,10,5,No,6,-3.2915687561035156,-20.325809478759766
14,46,Male,2,1800,West,5,3,No,6,-2.4942240715026855,-21.146360397338867
15,56,Male,5,2125,East,8,3,No,1,18.667306900024414,36.44602966308594
16,56,Male,2,5000,West,10,4,No,6,-43.83573532104492,-2.478070020675659
17,58,Female,2,1900,West,9,2,No,3,-8.817126274108887,-15.674206733703613
18,29,Female,5,700,West,10,5,No,3,10.708903312683105,-1.3670579195022583
19,24,Male,5,2100,East,8,4,No,6,17.311201095581055,36.43202209472656
20,53,Female,5,3000,East,8,4,No,2,-24.2592716217041,5.314267635345459
21,65,Female,3,1300,East,8,3,No,5,-13.20998764038086,-44.56111526489258
22,50,Female,3,650,West,8,3,No,6,14.353364944458008,-2.984927177429199
23,32,Female,5,2000,East,9,5,No,1,-21.26038932800293,30.373760223388672
24,47,Female,3,1000,East,7,3,No,6,-3.9660427570343018,20.538768768310547
25,57,Female,3,550,West,10,4,No,6,18.358562469482422,-6.328135967254639
26,38,Male,3,3500,West,8,3,Yes,6,-33.75919723510742,2.6459314823150635
27,35,Female,5,1,East,10,4,No,6,30.963056564331055,-20.558637619018555
28,72,Female,5,2500,West,6,2,No,2,22.24720573425293,20.480079650878906
29,28,Male,3,1500,East,10,5,No,1,46.03565216064453,-0.7015138268470764
30,44,Male,5,3300,West,8,3,No,6,-30.47486114501953,3.2394819259643555
31,30,Male,4,650,West,8,4,No,9,13.536602020263672,-3.4777989387512207
32,79,Female,2,420,West,9,2,No,6,24.762874603271484,-14.317462921142578
33,46,Female,5,1500,West,9,4,No,5,46.69038009643555,0.9739132523536682
34,55,Female,3,1500,East,9,5,No,1,47.50899124145508,1.9971169233322144
35,56,Female,2,1400,West,5,4,No,3,-6.03062105178833,-47.412899017333984
36,43,Male,4,3500,West,8,3,Yes,3,-33.78249740600586,2.5648725032806396
37,44,Female,3,2900,West,8,2,No,6,-20.742782592773438,6.248658180236816
38,50,Male,2,1700,West,7,4,No,3,2.289668560028076,-27.579113006591797
39,38,Male,5,1400,East,9,4,No,3,-6.361001491546631,-48.18982696533203
40,61,Female,2,900,West,8,2,Yes,3,-0.4950001537799835,12.937751770019531
41,47,Female,4,1200,West,8,1,No,2,-20.993410110473633,-37.554237365722656
42,74,Female,3,813,West,10,5,No,6,4.343383312225342,7.3020195960998535
43,55,Female,5,3500,East,8,3,No,1,-33.06001663208008,1.976503849029541
44,24,Male,3,1313,West,7,4,No,4,-13.102252006530762,-43.09392166137695
45,55,Female,3,1800,West,9,4,No,2,-3.1783697605133057,-21.203506469726562
46,26,Female,3,1100,East,8,5,No,6,-1.7539663314819336,48.011878967285156
47,63,Female,5,1875,East,7,2,Yes,1,-8.129508972167969,-16.196937561035156
48,59,Male,3,1100,East,7,3,No,1,0.06808982789516449,46.56032943725586
49,31,Male,4,1600,West,9,5,No,1,8.65792465209961,-32.06047058105469
50,20,Female,5,400,West,9,5,No,5,27.029279708862305,-14.576924324035645
51,32,Female,5,2700,West,8,4,No,6,19.232851028442383,17.839767456054688
52,45,Female,5,2000,East,10,5,No,6,-21.932649612426758,31.566503524780273
53,55,Male,3,2400,West,6,4,Yes,1,23.097721099853516,26.292238235473633
54,63,Male,3,800,East,7,3,Yes,5,4.795450210571289,6.250219345092773
55,71,Female,5,1050,East,8,3,No,3,-2.3892085552215576,43.05244445800781
56,55,Male,3,1875,West,7,4,No,6,-8.386012077331543,-16.479719161987305
57,22,Male,2,2000,West,8,5,No,6,-20.611791610717773,30.396520614624023
58,24,Female,5,476,East,5,4,No,2,23.104402542114258,-10.208183288574219
59,48,Female,5,3500,West,7,4,Yes,6,-33.18876647949219,2.6297526359558105
60,53,Male,4,3500,West,9,4,No,6,-33.060428619384766,2.173396587371826
61,82,Female,5,1600,East,8,3,No,1,5.259486198425293,-32.973060607910156
62,32,Female,5,3400,West,10,4,Yes,6,-31.996662139892578,2.78987717628479
63,37,Male,4,1200,East,9,4,Yes,6,-19.8697509765625,-37.29631042480469
64,78,Male,2,1600,West,10,4,No,5,5.45797872543335,-32.95209503173828
65,64,Male,5,2500,West,5,2,No,3,22.412372589111328,20.709522247314453
66,20,Female,3,380,West,8,4,No,6,27.334861755371094,-15.230918884277344
67,48,Male,5,3500,East,8,4,No,3,-33.14552307128906,2.540009021759033
68,42,Female,5,1900,West,7,4,No,3,-9.282818794250488,-16.100200653076172
