sepal_length,sepal_width,petal_length,petal_width,species,Emb_dim1,Emb_dim2
5.1,3.5,1.4,0.2,setosa,0.03387435781922983,-0.32506081569468653
4.9,3.0,1.4,0.2,setosa,0.032096961865491144,-0.2605458722899584
4.7,3.2,1.3,0.2,setosa,0.03320521097614978,-0.30203731791397487
4.6,3.1,1.5,0.2,setosa,0.03293274775517694,-0.29302710356048717
5.0,3.6,1.4,0.2,setosa,0.03375007172778622,-0.31848523749305496
5.4,3.9,1.7,0.4,setosa,0.03072784524464391,-0.1883527019672419
4.6,3.4,1.4,0.3,setosa,0.03373990140602664,-0.3224675532593242
5.0,3.4,1.5,0.2,setosa,0.033666860961017384,-0.32012548999954243
4.4,2.9,1.4,0.2,setosa,0.03149017811834383,-0.23655894739872604
4.9,3.1,1.5,0.1,setosa,0.03238903733381464,-0.2733167061899829
5.4,3.7,1.5,0.2,setosa,0.033289483998067124,-0.29719150390928983
4.8,3.4,1.6,0.2,setosa,0.033604631589545846,-0.3176556771645866
4.8,3.0,1.4,0.1,setosa,0.03185803071102649,-0.25143735713074944
4.3,3.0,1.1,0.1,setosa,0.031226398909138076,-0.22625373585409672
5.8,4.0,1.2,0.2,setosa,0.030205324208735784,-0.16564970611794888
5.7,4.4,1.5,0.4,setosa,0.025515593477523912,0.03556703467055975
5.4,3.9,1.3,0.4,setosa,0.03104206901304804,-0.2011290640386056
5.1,3.5,1.4,0.3,setosa,0.033713521096298514,-0.3197199933456411
5.7,3.8,1.7,0.3,setosa,0.031830335656673536,-0.23527092390395077
5.1,3.8,1.5,0.3,setosa,0.032597452928932374,-0.2669683837854149
5.4,3.4,1.7,0.2,setosa,0.03316975704790193,-0.3020633541185504
5.1,3.7,1.5,0.4,setosa,0.032243171603334925,-0.253859760647308
4.6,3.6,1.0,0.2,setosa,0.03155439976771788,-0.23717903314217204
5.1,3.3,1.7,0.5,setosa,0.03260128202375171,-0.27824606785704803
4.8,3.4,1.9,0.2,setosa,0.031883156727982954,-0.254452675690296
5.0,3.0,1.6,0.2,setosa,0.03206166475391187,-0.2617625429587464
5.0,3.4,1.6,0.4,setosa,0.0329760051351321,-0.29540345021186637
5.2,3.5,1.5,0.2,setosa,0.03370073062231894,-0.31963353927719207
5.2,3.4,1.4,0.2,setosa,0.03388896973650844,-0.3271713083656709
4.7,3.2,1.6,0.2,setosa,0.033065141567089444,-0.29804764669805306
4.8,3.1,1.6,0.2,setosa,0.03263889000730506,-0.2826237269377455
5.4,3.4,1.5,0.4,setosa,0.03325222519797008,-0.30528683929340034
5.2,4.1,1.5,0.1,setosa,0.030359193229157432,-0.1714098621067012
5.5,4.2,1.4,0.2,setosa,0.02885170700081921,-0.10718812415296917
4.9,3.1,1.5,0.2,setosa,0.032932747755172374,-0.2930271035604919
5.0,3.2,1.2,0.2,setosa,0.032705371527356655,-0.28315701783867164
5.5,3.5,1.3,0.2,setosa,0.03364200821735241,-0.31644842116481486
4.9,3.6,1.4,0.1,setosa,0.033513023389374126,-0.3093618785349863
4.4,3.0,1.3,0.2,setosa,0.032227929765358515,-0.2645138502355893
5.1,3.4,1.5,0.2,setosa,0.03366686096101726,-0.3201254899995424
5.0,3.5,1.3,0.3,setosa,0.03346597232949449,-0.3102132681799003
4.5,2.3,1.3,0.3,setosa,0.02460834384062541,0.03971030317069446
4.4,3.2,1.3,0.2,setosa,0.03320521097614727,-0.30203731791397226
5.0,3.5,1.6,0.6,setosa,0.03265954548946308,-0.2770182585812387
5.1,3.8,1.9,0.4,setosa,0.029791734494203515,-0.15135437341290778
4.8,3.0,1.4,0.3,setosa,0.03185001125074116,-0.2509326342149643
5.1,3.8,1.6,0.2,setosa,0.03252777702372849,-0.26457110661837246
4.6,3.2,1.4,0.2,setosa,0.033424120446835126,-0.3109623129486022
5.3,3.7,1.5,0.2,setosa,0.033289483998067096,-0.29719150390928967
5.0,3.3,1.4,0.2,setosa,0.03373064855950655,-0.32201071915880874
7.0,3.2,4.7,1.4,versicolor,-0.3194745245101684,0.517888443848974
6.4,3.2,4.5,1.5,versicolor,-0.5548124357825319,0.4635580054531222
6.9,3.1,4.9,1.5,versicolor,-0.10971935784948209,0.544267216815095
5.5,2.3,4.0,1.3,versicolor,-1.4475656767216323,-0.17234103581354432
6.5,2.8,4.6,1.5,versicolor,-0.49526440087655593,0.3888509239449731
5.7,2.8,4.5,1.3,versicolor,-0.6566839046501594,0.303469460117697
6.3,3.3,4.7,1.6,versicolor,-0.3261819647434052,0.5551453350219757
4.9,2.4,3.3,1.0,versicolor,-2.1453868385004315,-0.831259576526346
6.6,2.9,4.6,1.3,versicolor,-0.5132057972141766,0.36608009218472604
5.2,2.7,3.9,1.4,versicolor,-1.3269240805857796,-0.08390360802415094
5.0,2.0,3.5,1.0,versicolor,-2.1411546212622707,-0.7930874699831102
5.9,3.0,4.2,1.5,versicolor,-0.9366854477466844,0.23306420822696383
6.0,2.2,4.0,1.0,versicolor,-1.7558276918148998,-0.3925455925401588
6.1,2.9,4.7,1.4,versicolor,-0.3807650719808949,0.4318835058143602
5.6,2.9,3.6,1.3,versicolor,-1.5792749666811003,-0.3315747971878599
6.7,3.1,4.4,1.4,versicolor,-0.6815302089908438,0.36393900327025125
5.6,3.0,4.5,1.5,versicolor,-0.6112738028717136,0.3842617397896418
5.8,2.7,4.1,1.0,versicolor,-1.3993095854686088,-0.15058719976665935
6.2,2.2,4.5,1.5,versicolor,-0.746412808639906,0.19633222777230877
5.6,2.5,3.9,1.1,versicolor,-1.5210399220785602,-0.21408692755493144
5.9,3.2,4.8,1.8,versicolor,-0.06450757713501509,0.6085993783775266
6.1,2.8,4.0,1.3,versicolor,-1.1976802644777809,-0.003120052145775426
6.3,2.5,4.9,1.5,versicolor,-0.2526020255380496,0.4163094175645585
6.1,2.8,4.7,1.2,versicolor,-0.5110986380658153,0.34578710041252314
6.4,2.9,4.3,1.3,versicolor,-0.8833710259796299,0.19978830066576053
6.6,3.0,4.4,1.4,versicolor,-0.7476265305033861,0.3151877954230363
6.8,2.8,4.8,1.4,versicolor,-0.32648758039314224,0.4001843156378696
6.7,3.0,5.0,1.7,versicolor,0.14085090428775507,0.5761154891232657
6.0,2.9,4.5,1.5,versicolor,-0.5993357045810436,0.3797482844023095
5.7,2.6,3.5,1.0,versicolor,-1.9298250200313078,-0.6111400593588892
5.5,2.4,3.8,1.1,versicolor,-1.6556347065587482,-0.276772619912274
5.5,2.4,3.7,1.0,versicolor,-1.7576673249075991,-0.3994658217260404
5.8,2.7,3.9,1.2,versicolor,-1.346347166925204,-0.11819307483345988
6.0,2.7,5.1,1.6,versicolor,0.04203218340380779,0.4751228091740134
5.4,3.0,4.5,1.5,versicolor,-0.6112738028717136,0.38426173978964173
6.0,3.4,4.5,1.6,versicolor,-0.49938597815712565,0.5325122619801983
6.7,3.1,4.7,1.5,versicolor,-0.30848250209378714,0.5134256390045571
6.3,2.3,4.4,1.3,versicolor,-1.0280691813750964,0.12292624428364515
5.6,3.0,4.1,1.3,versicolor,-1.0938107934856947,0.0801215699901443
5.5,2.5,4.0,1.3,versicolor,-1.458683105226621,-0.08846594736769364
5.5,2.6,4.4,1.2,versicolor,-0.8646972505747504,0.21696493164005443
6.1,3.0,4.6,1.4,versicolor,-0.46603374538024406,0.44037783370856126
5.8,2.6,4.0,1.2,versicolor,-1.351540264299489,-0.09947137957383838
5.0,2.3,3.3,1.0,versicolor,-2.156198029261167,-0.8449908919349275
5.6,2.7,4.2,1.3,versicolor,-1.0872499177875363,0.09817341553354135
5.7,3.0,4.2,1.2,versicolor,-1.0205587595366032,0.13620118262619033
5.7,2.9,4.2,1.3,versicolor,-0.9802271634854158,0.1408647003837297
6.2,2.9,4.3,1.3,versicolor,-0.8833710259796296,0.19978830066576092
5.1,2.5,3.0,1.1,versicolor,-2.432399414432012,-1.2137878002209335
5.7,2.8,4.1,1.3,versicolor,-1.108526475534805,0.05463437474905929
6.3,3.3,6.0,2.5,virginica,1.672681792544685,-0.19197828273180872
5.8,2.7,5.1,1.9,virginica,0.21222190513993622,0.6561159066266093
7.1,3.0,5.9,2.1,virginica,1.5160515618081347,-0.060186161089344874
6.3,2.9,5.6,1.8,virginica,0.9721769068383015,0.31382944229541876
6.5,3.0,5.8,2.2,virginica,1.3773724621493362,0.041768737805027524
7.6,3.0,6.6,2.1,virginica,2.0383487155221442,-0.8201838475529166
4.9,2.5,4.5,1.7,virginica,-0.4791454887317865,0.5449218973182824
7.3,2.9,6.3,1.8,virginica,1.6792697727089951,-0.5089986988959204
6.7,2.5,5.8,1.8,virginica,0.9610254463952977,0.018465553192944375
7.2,3.6,6.1,2.5,virginica,1.873115418380006,-0.3339805657855855
6.5,3.2,5.1,2.0,virginica,0.5050702967615877,0.5508337262595501
6.4,2.7,5.3,1.9,virginica,0.3579894675845144,0.5724111487282609
6.8,3.0,5.5,2.1,virginica,0.8347747499733554,0.3923629773172931
5.7,2.5,5.0,2.0,virginica,0.1330461744034741,0.6642109275305501
5.8,2.8,5.1,2.4,virginica,0.6550139351424669,0.5408346439238712
6.4,3.2,5.3,2.3,virginica,0.9582601897629236,0.38796670004050726
6.5,3.0,5.5,1.8,virginica,0.8505120697179612,0.36723029665095197
7.7,3.8,6.7,2.2,virginica,2.43070828790449,-1.0161133976012446
7.7,2.6,6.9,2.3,virginica,2.342000447263444,-1.233331447624792
6.0,2.2,5.0,1.5,virginica,-0.35402850788059975,0.32440313060509696
6.9,3.2,5.7,2.3,virginica,1.3508479353582814,0.07496407170698267
5.6,2.8,4.9,2.0,virginica,0.12731756874421823,0.729004369207452
7.7,2.8,6.7,2.0,virginica,2.03550400103407,-0.9516801811698046
6.3,2.7,4.9,1.8,virginica,0.030717320936384504,0.6084917436293922
6.7,3.3,5.7,2.1,virginica,1.1324027709358533,0.18443401580440505
7.2,3.2,6.0,1.8,virginica,1.3960777450175106,-0.14692539158171972
6.2,2.8,4.8,1.8,virginica,0.007106328072768518,0.6305012238591647
6.1,3.0,4.9,1.8,virginica,0.16380692257789142,0.6397141930281122
6.4,2.8,5.6,2.1,virginica,1.052802169706167,0.25940149196830764
7.2,3.0,5.8,1.6,virginica,1.0248901043579834,0.07706561355316435
7.4,2.8,6.1,1.9,virginica,1.4465473574154926,-0.2924721297739928
7.9,3.8,6.4,2.0,virginica,2.114156348944377,-0.8890279414260778
6.4,2.8,5.6,2.2,virginica,1.0747305704047185,0.24524957649261778
6.3,2.8,5.1,1.5,virginica,0.002799715642615714,0.4685632667642063
6.1,2.6,5.6,1.4,virginica,0.4963163240175899,0.21072564007488717
7.7,3.0,6.1,2.3,virginica,1.6942911741581463,-0.2153105381531495
6.3,3.4,5.6,2.4,virginica,1.3255496229567272,0.11531401538800004
6.4,3.1,5.5,1.8,virginica,0.855201048428589,0.3691248142958717
6.0,3.0,4.8,1.8,virginica,0.0994734997500867,0.656538063416596
6.9,3.1,5.4,2.1,virginica,0.7686774418885585,0.4188348797119117
6.7,3.1,5.6,2.4,virginica,1.168659099890323,0.20715623273928893
6.9,3.1,5.1,2.3,virginica,0.747589760428954,0.5090652743762167
5.8,2.7,5.1,1.9,virginica,0.21222190513993613,0.6561159066266091
6.8,3.2,5.9,2.3,virginica,1.4436769784015395,-0.02863972100045678
6.7,3.3,5.7,2.5,virginica,1.3981359989776552,0.05162835707549205
6.7,3.0,5.2,2.3,virginica,0.7364559287183501,0.5104180916340461
6.3,2.5,5.0,1.9,virginica,0.1312035515455529,0.6093839472262044
6.5,3.0,5.2,2.0,virginica,0.5238179947868818,0.5131014049944109
6.2,3.4,5.4,2.3,virginica,1.0906207923587243,0.2703885728901459
5.9,3.0,5.1,1.8,virginica,0.2879943126300271,0.5504769976094052
