sepal_length,sepal_width,petal_length,petal_width,species,Emb_dim1,Emb_dim2
5.1,3.5,1.4,0.2,setosa,0.0,-0.07836835504716079
4.9,3.0,1.4,0.2,setosa,0.0,0.1900207818075073
4.7,3.2,1.3,0.2,setosa,0.0,0.11541800503226944
4.6,3.1,1.5,0.2,setosa,0.0,0.0985506178049471
5.0,3.6,1.4,0.2,setosa,0.0,-0.13292953514251457
5.4,3.9,1.7,0.4,setosa,0.0,-0.1406370558551308
4.6,3.4,1.4,0.3,setosa,0.0,-0.04306121399205559
5.0,3.4,1.5,0.2,setosa,0.0,-0.019361111562436806
4.4,2.9,1.4,0.2,setosa,0.0,0.24659818587215682
4.9,3.1,1.5,0.1,setosa,0.0,0.10049331616666454
5.4,3.7,1.5,0.2,setosa,0.0,-0.13460126529695
4.8,3.4,1.6,0.2,setosa,0.0,-0.012926935833678764
4.8,3.0,1.4,0.1,setosa,0.0,0.19121855303359375
4.3,3.0,1.1,0.1,setosa,0.0,0.28638460815544287
5.8,4.0,1.2,0.2,setosa,0.0,-0.1358853912347803
5.7,4.4,1.5,0.4,setosa,0.0,-0.141748842499948
5.4,3.9,1.3,0.4,setosa,0.0,-0.13706308689087565
5.1,3.5,1.4,0.3,setosa,0.0,-0.0960958925462122
5.7,3.8,1.7,0.3,setosa,0.0,-0.13894063960125652
5.1,3.8,1.5,0.3,setosa,0.0,-0.1365069663098234
5.4,3.4,1.7,0.2,setosa,0.0,0.006959822192891374
5.1,3.7,1.5,0.4,setosa,0.0,-0.13619433040879936
4.6,3.6,1.0,0.2,setosa,0.0,-0.1347912772895247
5.1,3.3,1.7,0.5,setosa,0.0,0.0036370175463944377
4.8,3.4,1.9,0.2,setosa,0.0,0.03676837567562616
5.0,3.0,1.6,0.2,setosa,0.0,0.086336799432597
5.0,3.4,1.6,0.4,setosa,0.0,-0.025581665463990468
5.2,3.5,1.5,0.2,setosa,0.0,-0.0731876409022236
5.2,3.4,1.4,0.2,setosa,0.0,-0.025419833828525515
4.7,3.2,1.6,0.2,setosa,0.0,0.037110194513869085
4.8,3.1,1.6,0.2,setosa,0.0,0.06174791963912224
5.4,3.4,1.5,0.4,setosa,0.0,-0.039656341427696404
5.2,4.1,1.5,0.1,setosa,0.0,-0.1380005039415255
