sepal_length,sepal_width,petal_length,petal_width,species,Emb_dim1,Emb_dim2
5.1,3.5,1.4,0.2,setosa,1.8550474352644188,1.8281877312332382
4.9,3.0,1.4,0.2,setosa,1.4460968129856286,2.1191298855130096
4.7,3.2,1.3,0.2,setosa,1.6657115698181422,2.0769719868345526
4.6,3.1,1.5,0.2,setosa,1.47255862527022,1.9855874789977983
5.0,3.6,1.4,0.2,setosa,1.9386504942003813,1.7671256740699748
5.4,3.9,1.7,0.4,setosa,1.9838220414556063,1.295402011510322
4.6,3.4,1.4,0.3,setosa,1.7567633355846224,1.8537375591612175
5.0,3.4,1.5,0.2,setosa,1.7152976215357831,1.8149522044035187
4.4,2.9,1.4,0.2,setosa,1.3629213747757258,2.1777001437946852
4.9,3.1,1.5,0.1,setosa,1.4830169209176063,2.0282300784747562
5.4,3.7,1.5,0.2,setosa,1.9675897502017514,1.6341967170620162
4.8,3.4,1.6,0.2,setosa,1.6549524502543171,1.7447156531398929
4.8,3.0,1.4,0.1,setosa,1.4599268177752684,2.158218399991298
4.3,3.0,1.1,0.1,setosa,1.6297871819313237,2.3750174150671133
5.8,4.0,1.2,0.2,setosa,2.374354889200329,1.6837053638169657
5.7,4.4,1.5,0.4,setosa,2.5009036467777768,1.14979038274531
5.4,3.9,1.3,0.4,setosa,2.219451526702125,1.5861548352238606
5.1,3.5,1.4,0.3,setosa,1.839773250737394,1.7923517471664374
5.7,3.8,1.7,0.3,setosa,1.9225654162346888,1.3872748873021032
5.1,3.8,1.5,0.3,setosa,2.029838780931728,1.5405353577980971
5.4,3.4,1.7,0.2,setosa,1.5978455144050068,1.6688775817216093
5.1,3.7,1.5,0.4,setosa,1.9342138034466694,1.5574815391629655
4.6,3.6,1.0,0.2,setosa,2.1610317938711563,2.068930920907537
5.1,3.3,1.7,0.5,setosa,1.4634428321857427,1.6184202256761775
4.8,3.4,1.9,0.2,setosa,1.5005506019969281,1.5005953953010747
5.0,3.0,1.6,0.2,setosa,1.3327151261246395,1.9719694319092413
5.0,3.4,1.6,0.4,setosa,1.63500178306636,1.65815901079907
5.2,3.5,1.5,0.2,setosa,1.8023981609041677,1.751126283442446
5.2,3.4,1.4,0.2,setosa,1.7715846889785796,1.8887821525960533
4.7,3.2,1.6,0.2,setosa,1.494031183307261,1.8582294940379822
4.8,3.1,1.6,0.2,setosa,1.4136621067187525,1.9146788383316127
5.4,3.4,1.5,0.4,setosa,1.6917900727781325,1.7309644184617978
5.2,4.1,1.5,0.1,setosa,2.326902145097034,1.4169409652072056
5.5,4.2,1.4,0.2,setosa,2.430415149870725,1.4124833014080684
4.9,3.1,1.5,0.2,setosa,1.4725586559461656,1.9855874541021457
5.0,3.2,1.2,0.2,setosa,1.7203909369986519,2.1532030062294507
5.5,3.5,1.3,0.2,setosa,1.908731304745846,1.9048478819948313
4.9,3.6,1.4,0.1,setosa,1.967893251455579,1.7968201621279318
4.4,3.0,1.3,0.2,setosa,1.5017204579803458,2.1947617111622355
5.1,3.4,1.5,0.2,setosa,1.7152970364280453,1.8149527785599273
5.0,3.5,1.3,0.3,setosa,1.8955725491322661,1.871791504992167
4.5,2.3,1.3,0.3,setosa,0.905146025677983,2.571445026523879
4.4,3.2,1.3,0.2,setosa,1.6657117391703713,2.076971856723548
5.0,3.5,1.6,0.6,setosa,1.7090399229440218,1.4902839704711668
5.1,3.8,1.9,0.4,setosa,1.7938560559475871,1.2044091073209793
4.8,3.0,1.4,0.3,setosa,1.4167894777098518,2.0938584647552303
5.1,3.8,1.6,0.2,setosa,2.0015940605811977,1.490553677119104
4.6,3.2,1.4,0.2,setosa,1.6101541791022012,2.002200103580593
5.3,3.7,1.5,0.2,setosa,1.9675897517329617,1.6341967151741303
5.0,3.3,1.4,0.2,setosa,1.6903415638510064,1.9455387921811134
7.0,3.2,4.7,1.4,versicolor,-0.4075814984363425,-0.85980753414792
6.4,3.2,4.5,1.5,versicolor,-0.32115390346130696,-0.7541829932527861
6.9,3.1,4.9,1.5,versicolor,-0.6261592654008934,-0.971742440082525
5.5,2.3,4.0,1.3,versicolor,-0.7373785071043387,0.21884545414218873
6.5,2.8,4.6,1.5,versicolor,-0.6976983423454626,-0.5902709990792031
5.7,2.8,4.5,1.3,versicolor,-0.6228601553124238,-0.4276927154341402
6.3,3.3,4.7,1.6,versicolor,-0.3750801846673209,-0.990417352335845
4.9,2.4,3.3,1.0,versicolor,-0.21390908763490749,0.7739574918787551
6.6,2.9,4.6,1.3,versicolor,-0.6154262116234774,-0.5446389959291895
5.2,2.7,3.9,1.4,versicolor,-0.3287607416654328,-0.0057072554997847115
5.0,2.0,3.5,1.0,versicolor,-0.6528506633609167,0.8663450903376787
5.9,3.0,4.2,1.5,versicolor,-0.2686579987981487,-0.45253434545834603
6.0,2.2,4.0,1.0,versicolor,-0.787806870658898,0.40285816633923266
6.1,2.9,4.7,1.4,versicolor,-0.6767612005394235,-0.6638527363815977
5.6,2.9,3.6,1.3,versicolor,0.032016843614257724,0.1089304123525421
6.7,3.1,4.4,1.4,versicolor,-0.32549510794712355,-0.5883203713937942
