sepal_length,sepal_width,petal_length,petal_width,species,Emb_dim1,Emb_dim2
5.1,3.5,1.4,0.2,setosa,0.20310552324960562,-2.3551386880256623e-15
4.9,3.0,1.4,0.2,setosa,0.16925460270800685,-6.449812927423888e-16
4.7,3.2,1.3,0.2,setosa,0.17489642279827353,-7.64916673308173e-16
4.6,3.1,1.5,0.2,setosa,0.18618006297880743,-9.019494489765868e-16
5.0,3.6,1.4,0.2,setosa,0.2031055232496054,-2.3551386880256623e-15
5.4,3.9,1.7,0.4,setosa,0.12976186207613688,-1.7883509906194153e-15
4.6,3.4,1.4,0.3,setosa,0.2031055232496061,-1.7663540160192468e-15
5.0,3.4,1.5,0.2,setosa,0.22003098352040634,-1.961044852356119e-15
4.4,2.9,1.4,0.2,setosa,0.1410455022566726,-3.925231146709438e-16
4.9,3.1,1.5,0.1,setosa,0.16361278261773987,-7.398305820894757e-16
5.4,3.7,1.5,0.2,setosa,0.18618006297880507,-2.593104665807687e-15
4.8,3.4,1.6,0.2,setosa,0.16925460270800483,-1.827446996103435e-15
4.8,3.0,1.4,0.1,setosa,0.15797096252747314,-7.269629816846643e-16
4.3,3.0,1.1,0.1,setosa,0.10719458171507112,-3.4219371797089426e-16
5.8,4.0,1.2,0.2,setosa,0.10719458171506972,-1.4543233013763007e-15
5.7,4.4,1.5,0.4,setosa,0.09026912144426912,-1.4130832128153977e-15
5.4,3.9,1.3,0.4,setosa,0.129761862076137,-1.7883509906194153e-15
5.1,3.5,1.4,0.3,setosa,0.20310552324960562,-2.2373817536243794e-15
5.7,3.8,1.7,0.3,setosa,0.1523291424372038,-2.1415904299290665e-15
5.1,3.8,1.5,0.3,setosa,0.16361278261773746,-2.4308719125797058e-15
5.4,3.4,1.7,0.2,setosa,0.1523291424372046,-1.4277269532860443e-15
5.1,3.7,1.5,0.4,setosa,0.15797096252747075,-2.2847407995803733e-15
4.6,3.6,1.0,0.2,setosa,0.08462730135400282,-7.981236302140655e-16
5.1,3.3,1.7,0.5,setosa,0.11283640180533704,-1.2287917140018455e-15
4.8,3.4,1.9,0.2,setosa,0.09591094153453601,-1.011508913927959e-15
5.0,3.0,1.6,0.2,setosa,0.14104550225667248,-5.887846720064157e-16
5.0,3.4,1.6,0.4,setosa,0.15232914243720452,-1.8356489399391997e-15
5.2,3.5,1.5,0.2,setosa,0.22003098352040584,-2.9415672785341788e-15
5.2,3.4,1.4,0.2,setosa,0.20310552324960646,-2.001867884821813e-15
4.7,3.2,1.6,0.2,setosa,0.16925460270800569,-9.674719391135832e-16
4.8,3.1,1.6,0.2,setosa,0.15232914243720574,-1.0198049666328888e-15
5.4,3.4,1.5,0.4,setosa,0.14668732234693763,-1.6011864169946884e-15
5.2,4.1,1.5,0.1,setosa,0.12412004198587022,-1.7030143579115058e-15
5.5,4.2,1.4,0.2,setosa,0.10719458171506972,-1.4543233013763007e-15
4.9,3.1,1.5,0.2,setosa,0.1805382428885408,-7.771561172376096e-16
5.0,3.2,1.2,0.2,setosa,0.1410455022566724,-7.850462293418876e-16
5.5,3.5,1.3,0.2,setosa,0.16925460270800494,-1.9349438782271664e-15
4.9,3.6,1.4,0.1,setosa,0.17489642279827156,-2.1854762094519228e-15
4.4,3.0,1.3,0.2,setosa,0.15797096252747325,-7.269629816846643e-16
5.1,3.4,1.5,0.2,setosa,0.20310552324960574,-1.88411095042053e-15
