,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
9348,manual,few,large,1993,15.0,19.0,2.5584,-2.741240856307403,6.743686298963343
19831,auto,medium,midsize,2005,15.0,20.0,4.0,-11.036679138211342,-6.9521216901345975
15153,manual,few,small,2001,22.0,32.0,1.6,9.157707305983742,-13.702242231576495
14196,manual,medium,small,2000,15.0,23.0,4.6,-5.066331181300989,-3.7709836604050437
7491,manual,medium,large,1991,13.0,17.0,5.002,-6.280309875660056,11.852523000735216
8731,manual,few,small,1992,18.0,25.0,2.0008,4.957210660727017,3.513116280182865
12668,manual,few,small,1998,21.0,27.0,2.2,5.076235108901733,-5.797929472294044
7855,auto,medium,large,1991,9.0,11.0,5.904,-10.26993314988122,17.731406695298745
14363,auto,few,small,2000,23.0,35.0,1.9,11.54679877780003,-15.101676706757843
19908,manual,medium,midsize,2005,15.0,22.0,2.5,-9.842914324341498,-8.165806577003352
12201,manual,few,large,1997,18.0,23.0,2.3944,-0.15981745273843032,-1.0122749803154887
19916,auto,medium,midsize,2005,14.0,19.0,4.2,-12.176535283950658,-5.793832039700567
15972,auto,medium,small,2002,17.0,26.0,3.2,-2.0706220005003075,-8.170616268952266
7923,lock-up,few,small,1992,22.0,32.0,1.8532,14.157584268577141,-1.7596404143077986
20202,auto,medium,small,2006,15.0,20.0,5.4,-12.706450632561987,-7.716292351485367
20729,auto,medium,large,2006,10.0,13.0,5.3,-23.338551835735704,0.5436155591110614
12871,auto,medium,midsize,1998,17.0,27.0,3.8,1.623567965802953,-4.2549509651084785
9683,manual,medium,small,1994,15.0,21.0,3.0668,-2.0520406360912804,4.641129625550204
112,manual,few,small,1985,23.0,33.0,1.8532,20.369763867427185,1.081736707750719
736,manual,few,small,1985,21.0,26.0,1.7876,14.262564441140313,8.215592137021929
14511,auto,medium,midsize,2000,16.0,24.0,2.9,-2.853719253863218,-4.511593882892864
5010,manual,few,small,1989,18.0,26.0,2.4928,7.366850554928322,5.77517610592619
11756,manual,medium,small,1996,16.0,24.0,4.6084,-1.272267697869909,0.351256199177663
18894,auto,medium,midsize,2004,11.0,13.0,5.0,-20.91300103580482,3.4249146176715692
6370,lock-up,few,midsize,1990,18.0,23.0,2.214,4.111194042373413,6.329291308851531
7263,manual,few,small,1991,22.0,29.0,1.7876,13.38445889503562,-0.23245468728057753
4591,manual,medium,large,1988,11.0,14.0,5.2152,-7.976767506843435,19.46420425735202
17179,auto,medium,midsize,2003,18.0,26.0,3.1,-2.0297714264925153,-9.434039541036249
5718,lock-up,few,small,1989,18.0,25.0,2.296,6.591423936466374,6.7763365205689405
16906,auto,few,small,2003,18.0,26.0,2.0,-1.1543206702960975,-10.20320878097217
127,manual,few,small,1985,36.0,47.0,2.0008,40.82452272384549,-4.670244011105102
7332,lock-up,medium,large,1991,15.0,20.0,6.2156,-2.4443193484676136,8.674414970209764
12719,auto,medium,small,1998,17.0,26.0,2.5,0.22754144342773266,-4.378436685373915
