,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
0,auto,few,small,1988,26.0,30.0,1.476,-0.06917159202333432,-0.05927608473927806
1,auto,medium,large,2006,16.0,23.0,3.8,0.026866802428158938,-0.023051566974710808
2,auto,medium,midsize,2002,16.0,19.0,2.5,0.0278563696968897,-0.01995520766155679
3,lock-up,medium,large,1994,11.0,15.0,5.2152,0.023753221578522072,-0.017567192216394
4,auto,medium,large,2003,14.0,15.0,3.9,0.010557888599979186,-0.0050621453709642425
5,manual,medium,large,1993,13.0,17.0,5.002,0.023794079429658593,-0.017347968511930614
6,auto,medium,large,1999,15.0,19.0,4.3,0.027769151806070973,-0.019768318798351683
7,lock-up,few,midsize,1992,18.0,23.0,1.8368,0.030598374116294045,-0.01978779329984922
8,lock-up,few,midsize,1987,19.0,29.0,2.4764,-0.05523827986091488,-0.07534842169855019
9,manual,few,small,1996,21.0,29.0,1.9024,-0.01585136019728811,-0.0524643980654029
10,auto,medium,midsize,2007,15.0,20.0,4.0,0.027714220146580707,-0.020622024614924295
11,auto,medium,large,1998,14.0,17.0,4.3,0.02401329677763973,-0.016171761612296026
12,auto,medium,large,2008,11.0,17.0,3.3,0.02477788880212033,-0.017461450216075154
13,manual,medium,large,1985,14.0,17.0,3.69,0.024041547314595787,-0.016020177994421278
14,auto,medium,midsize,2006,16.0,25.0,2.8,0.026801623132255856,-0.027628524715660744
15,auto,medium,midsize,2004,16.0,22.0,2.5,0.0261779811083579,-0.02344299888306046
16,auto,few,midsize,2001,19.0,23.0,2.0,0.02942142727142568,-0.022557220840379793
17,manual,medium,large,2005,15.0,20.0,4.8,0.027691537030111936,-0.01923349636393218
18,manual,few,small,1993,23.0,31.0,1.8368,-0.06526900601526842,-0.08026839402778528
19,auto,few,midsize,2006,21.0,27.0,2.4,0.02740996335089765,-0.025116848794066643
20,auto,medium,large,1999,15.0,22.0,3.8,0.030650189070038754,-0.020689122978396417
21,lock-up,medium,large,1988,15.0,17.0,4.2968,0.023799616014940798,-0.017318259166467564
22,manual,medium,small,2007,13.0,19.0,4.2,0.027645643745010436,-0.019367357829143346
23,auto,few,midsize,2004,19.0,26.0,2.5,0.027210804176573195,-0.02562663558239441
24,auto,medium,midsize,2008,14.0,20.0,4.0,0.027936719359510826,-0.019428204461323748
