,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
0,auto,few,small,1988,26.0,30.0,1.476,-12.689458358692344,5.983691981145185
1,auto,medium,large,2006,16.0,23.0,3.8,9.093208321271488,3.454522647759077
2,auto,medium,midsize,2002,16.0,19.0,2.5,6.895401470151981,-1.2210376173899562
3,lock-up,medium,large,1994,11.0,15.0,5.2152,2.6972603905024743,-10.514259487889257
4,auto,medium,large,2003,14.0,15.0,3.9,9.889400486481335,-4.99947800386597
5,manual,medium,large,1993,13.0,17.0,5.002,0.5248133094843513,-8.482932212593047
6,auto,medium,large,1999,15.0,19.0,4.3,4.55082500168121,-3.2412828510054985
7,lock-up,few,midsize,1992,18.0,23.0,1.8368,-4.193159613902842,-1.595006093296395
8,lock-up,few,midsize,1987,19.0,29.0,2.4764,-11.078837821958391,0.9779631018178299
9,manual,few,small,1996,21.0,29.0,1.9024,-3.4942723281225474,6.065268180482651
10,auto,medium,midsize,2007,15.0,20.0,4.0,11.316588682201168,1.194550835940689
11,auto,medium,large,1998,14.0,17.0,4.3,4.644217617485867,-5.639602608198804
12,auto,medium,large,2008,11.0,17.0,3.3,14.473601846785098,-2.423259621211622
13,manual,medium,large,1985,14.0,17.0,3.69,-7.067294378060902,-11.446454882850256
14,auto,medium,midsize,2006,16.0,25.0,2.8,8.41451834088484,5.1032363293486
15,auto,medium,midsize,2004,16.0,22.0,2.5,7.555018350515176,2.0064057806368427
16,auto,few,midsize,2001,19.0,23.0,2.0,3.636907844376558,2.955075764360169
17,manual,medium,large,2005,15.0,20.0,4.8,9.621143957464566,0.13377524512588937
18,manual,few,small,1993,23.0,31.0,1.8368,-7.4248418313393785,7.185996595396194
19,auto,few,midsize,2006,21.0,27.0,2.4,6.140388828508614,9.173277113753397
20,auto,medium,large,1999,15.0,22.0,3.8,3.4597821596398304,-0.9407733781027197
21,lock-up,medium,large,1988,15.0,17.0,4.2968,-4.591389578388899,-9.762794312692623
22,manual,medium,small,2007,13.0,19.0,4.2,12.261768015767379,-0.5351845895240648
23,auto,few,midsize,2004,19.0,26.0,2.5,5.29117568284603,6.421242111748933
24,auto,medium,midsize,2008,14.0,20.0,4.0,12.495506346851066,1.1741571973821674
25,manual,few,small,1990,19.0,30.0,2.4764,-8.747277273809125,3.2004264568554337
26,manual,medium,large,1992,11.0,16.0,5.74,0.6703561503602677,-10.85008979990806
27,manual,medium,small,1996,17.0,23.0,2.9684,-0.2045408363857617,-0.4538879358035887
28,manual,few,midsize,1993,18.0,27.0,1.9844,-4.64618282960549,1.790583226840394
29,auto,medium,large,2000,14.0,17.0,3.4,6.375841753107488,-4.639265597535823
30,lock-up,medium,large,1991,11.0,15.0,5.2152,0.034108605570974206,-11.888690033394989
31,auto,few,small,2006,21.0,26.0,2.5,6.516417414594219,8.542372825062571
