,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
9348,manual,few,large,1993,15.0,19.0,2.5584,-0.16990181440687788,0.4267993069371363
19831,auto,medium,midsize,2005,15.0,20.0,4.0,0.5903954486245928,0.21109276350374512
15153,manual,few,small,2001,22.0,32.0,1.6,0.04673412856603089,-0.4169907500642995
14196,manual,medium,small,2000,15.0,23.0,4.6,0.20184180163261195,0.05062918953716341
7491,manual,medium,large,1991,13.0,17.0,5.002,-0.2054017217483909,0.6078047678290436
8731,manual,few,small,1992,18.0,25.0,2.0008,-0.2883488596261424,-0.06698964651652443
12668,manual,few,small,1998,21.0,27.0,2.2,-0.006880570500376189,-0.37115726814423833
7855,auto,medium,large,1991,9.0,11.0,5.904,-0.12900497295772537,0.44718230914094514
14363,auto,few,small,2000,23.0,35.0,1.9,-0.015155928031823088,-0.3845618092711601
19908,manual,medium,midsize,2005,15.0,22.0,2.5,0.5220440276285482,0.006515279144602642
12201,manual,few,large,1997,18.0,23.0,2.3944,-0.0048202329354031515,-0.08153511263066264
19916,auto,medium,midsize,2005,14.0,19.0,4.2,0.5894508560343517,0.28212714815385487
15972,auto,medium,small,2002,17.0,26.0,3.2,0.2482123519438562,-0.26656752638749837
7923,lock-up,few,small,1992,22.0,32.0,1.8532,-0.290232975445358,-0.4560769093541375
20202,auto,medium,small,2006,15.0,20.0,5.4,0.5522927423957483,0.20080281724248547
20729,auto,medium,large,2006,10.0,13.0,5.3,0.299679293251165,0.19977709723498396
12871,auto,medium,midsize,1998,17.0,27.0,3.8,0.024417691049151553,-0.21661160603493632
9683,manual,medium,small,1994,15.0,21.0,3.0668,-0.1447220783475575,0.27004851485974707
112,manual,few,small,1985,23.0,33.0,1.8532,-0.30420372121547795,-0.31120820093476037
736,manual,few,small,1985,21.0,26.0,1.7876,-0.4086943899018344,-0.18172667257679676
14511,auto,medium,midsize,2000,16.0,24.0,2.9,0.18463032319044456,-0.10843837819311741
5010,manual,few,small,1989,18.0,26.0,2.4928,-0.42597634387966626,-0.09468825025735605
11756,manual,medium,small,1996,16.0,24.0,4.6084,-0.05151287638963227,-0.004430351403067636
18894,auto,medium,midsize,2004,11.0,13.0,5.0,0.30359335318216507,0.22927232663592156
6370,lock-up,few,midsize,1990,18.0,23.0,2.214,-0.39031926309032405,0.09180621181953379
7263,manual,few,small,1991,22.0,29.0,1.7876,-0.3656408607951137,-0.440400102693959
4591,manual,medium,large,1988,11.0,14.0,5.2152,-0.1885708642357782,0.5112585709054267
17179,auto,medium,midsize,2003,18.0,26.0,3.1,0.329548793243137,-0.37642143436518793
5718,lock-up,few,small,1989,18.0,25.0,2.296,-0.45402831450864983,-0.02062488462208334
16906,auto,few,small,2003,18.0,26.0,2.0,0.3198445121607627,-0.38239270445049023
127,manual,few,small,1985,36.0,47.0,2.0008,-0.17111834793453495,-0.255196054189839
7332,lock-up,medium,large,1991,15.0,20.0,6.2156,-0.2381405852023124,0.4066972619498661
12719,auto,medium,small,1998,17.0,26.0,2.5,0.02891590805471101,-0.20343416316255197
2311,manual,few,midsize,1986,31.0,39.0,2.0008,-0.20611359702649906,-0.2811224498559464
2549,manual,medium,small,1986,15.0,24.0,2.8372,-0.3668337534935588,0.16725151935044552
23032,auto,medium,large,2008,13.0,18.0,4.7,0.4469524203713769,0.21665906904623267
17594,auto,medium,midsize,2003,15.0,21.0,3.2,0.4472349845649424,0.1163598018820932
19915,auto,medium,midsize,2005,15.0,20.0,4.8,0.5819743743160382,0.2163652500770934
15190,auto,medium,small,2001,18.0,26.0,2.3,0.1833439869644799,-0.29762959153805735
1132,manual,medium,large,1985,16.0,20.0,6.2156,-0.2829745982765474,0.3038283267072045
22785,auto,medium,midsize,2008,15.0,22.0,5.5,0.401108247305941,0.002508974602972347
12361,manual,medium,small,1997,16.0,24.0,4.6084,0.004149017982249956,-0.034738544188386136
10022,lock-up,few,midsize,1994,21.0,27.0,1.8204,-0.20496218778248287,-0.30544952179708557
774,lock-up,few,large,1985,18.0,25.0,2.4764,-0.4042060089291213,0.01186673131336028
7686,manual,few,small,1991,26.0,33.0,1.476,-0.2719908190466137,-0.40241685724517867
6291,lock-up,few,midsize,1990,18.0,26.0,1.9844,-0.38023952238300324,-0.1115439130463359
23178,auto,medium,midsize,2008,15.0,22.0,3.6,0.43489370881747463,-0.007261261344365184
10538,manual,few,small,1995,25.0,31.0,1.7712,-0.1849875609720984,-0.44855341320539044
