,transmission,cylinder,car_size,year,mpg_city,mpg_highway,displacement,Emb_dim1,Emb_dim2
9348,manual,few,large,1993,15.0,19.0,2.5584,0.3325769901275635,13.033122062683105
19831,auto,medium,midsize,2005,15.0,20.0,4.0,-27.17102813720703,1.8515537977218628
15153,manual,few,small,2001,22.0,32.0,1.6,2.968489646911621,-26.011735916137695
14196,manual,medium,small,2000,15.0,23.0,4.6,-11.205997467041016,0.5120177268981934
7491,manual,medium,large,1991,13.0,17.0,5.002,-3.4353272914886475,29.149066925048828
8731,manual,few,small,1992,18.0,25.0,2.0008,13.161883354187012,1.338982105255127
12668,manual,few,small,1998,21.0,27.0,2.2,6.115293025970459,-14.223997116088867
7855,auto,medium,large,1991,9.0,11.0,5.904,-7.402124404907227,35.00212097167969
14363,auto,few,small,2000,23.0,35.0,1.9,4.554320335388184,-27.386756896972656
19908,manual,medium,midsize,2005,15.0,22.0,2.5,-24.687625885009766,-3.4318032264709473
12201,manual,few,large,1997,18.0,23.0,2.3944,-0.5776011347770691,-2.5607657432556152
19916,auto,medium,midsize,2005,14.0,19.0,4.2,-27.789573669433594,4.808627605438232
15972,auto,medium,small,2002,17.0,26.0,3.2,-8.23292064666748,-13.291559219360352
7923,lock-up,few,small,1992,22.0,32.0,1.8532,16.700124740600586,-19.841251373291016
20202,auto,medium,small,2006,15.0,20.0,5.4,-29.095624923706055,3.18038272857666
20729,auto,medium,large,2006,10.0,13.0,5.3,-32.5319938659668,17.739362716674805
12871,auto,medium,midsize,1998,17.0,27.0,3.8,1.329542636871338,-8.202058792114258
9683,manual,medium,small,1994,15.0,21.0,3.0668,-0.21572765707969666,10.874650955200195
112,manual,few,small,1985,23.0,33.0,1.8532,27.75653648376465,-19.4116153717041
736,manual,few,small,1985,21.0,26.0,1.7876,32.566375732421875,-1.4993244409561157
14511,auto,medium,midsize,2000,16.0,24.0,2.9,-6.1246418952941895,-3.8306326866149902
5010,manual,few,small,1989,18.0,26.0,2.4928,20.753686904907227,2.935804843902588
11756,manual,medium,small,1996,16.0,24.0,4.6084,0.22261668741703033,4.818244934082031
18894,auto,medium,midsize,2004,11.0,13.0,5.0,-28.485877990722656,20.12693214416504
6370,lock-up,few,midsize,1990,18.0,23.0,2.214,15.323807716369629,7.036256313323975
7263,manual,few,small,1991,22.0,29.0,1.7876,18.02501678466797,-15.831133842468262
4591,manual,medium,large,1988,11.0,14.0,5.2152,-2.1292386054992676,36.28977966308594
17179,auto,medium,midsize,2003,18.0,26.0,3.1,-11.026930809020996,-14.768943786621094
5718,lock-up,few,small,1989,18.0,25.0,2.296,20.411170959472656,3.9126784801483154
16906,auto,few,small,2003,18.0,26.0,2.0,-10.128473281860352,-15.939874649047852
